Class,Concentration,Sensor1_DR,Sensor1_ADR,Sensor1_P_EMA,Sensor2_M_EMA,Sensor2_DR,Sensor2_ADR,Sensor2_P_EMA,Sensor2_M_EMA,Sensor3_DR,Sensor3_ADR,Sensor3_P_EMA,Sensor3_M_EMA,Sensor4_DR,Sensor4_ADR,Sensor4_P_EMA,Sensor4_M_EMA,Sensor5_DR,Sensor5_ADR,Sensor5_P_EMA,Sensor5_M_EMA,Sensor6_DR,Sensor6_ADR,Sensor6_P_EMA,Sensor6_M_EMA,Sensor7_DR,Sensor7_ADR,Sensor7_P_EMA,Sensor7_M_EMA,Sensor8_DR,Sensor8_ADR,Sensor8_P_EMA,Sensor8_M_EMA,Sensor9_DR,Sensor9_ADR,Sensor9_P_EMA,Sensor9_M_EMA,Sensor10_DR,Sensor10_ADR,Sensor10_P_EMA,Sensor10_M_EMA,Sensor11_DR,Sensor11_ADR,Sensor11_P_EMA,Sensor11_M_EMA,Sensor12_DR,Sensor12_ADR,Sensor12_P_EMA,Sensor12_M_EMA,Sensor13_DR,Sensor13_ADR,Sensor13_P_EMA,Sensor13_M_EMA,Sensor14_DR,Sensor14_ADR,Sensor14_P_EMA,Sensor14_M_EMA,Sensor15_DR,Sensor15_ADR,Sensor15_P_EMA,Sensor15_M_EMA,Sensor16_DR,Sensor16_ADR,Sensor16_P_EMA,Sensor16_M_EMA
1,10,15596.1621,1.868245,2.803678,-3.344671,15326.6914,1.768526,2.713374,-3.082212,2789.3831,2.754759,0.649457,-0.584313,2581.5686,2.680623,0.605065,-0.550743,685.3994,1.682904,0.223703,-0.236907,797.7738,1.742488,0.218904,-0.31572,3128.8489,3.605537,0.763062,-0.809953,3136.8778,3.555169,0.761388,-0.944425,13540.6738,1.765738,2.519022,-2.694967,13831.7539,1.746493,2.391239,-2.888766,3020.9191,2.819354,0.723993,-0.638167,2185.9741,2.949381,0.51509,-0.493482,862.7479,1.779291,0.246473,-0.416382,1059.7562,1.896047,0.334017,-0.345119,3357.1124,3.860647,0.80683,-1.071137,3037.039,3.972203,0.728443,-0.902241
1,20,26402.0704,2.532401,6.509906,-5.817651,23855.7812,2.164706,5.971392,-5.22109,3882.9057,3.155054,1.172245,-0.944655,3651.0427,3.130669,1.101765,-0.915543,982.949,1.933877,0.378052,-0.354591,1162.2378,2.039431,0.486908,-0.473164,4332.1543,3.990162,1.586233,-1.335612,4387.5284,4.011519,1.64783,-1.631468,20553.5645,2.10887,5.185937,-4.497039,22540.1933,2.222146,5.57362,-4.953663,4240.3011,3.262893,1.297617,-1.244472,3079.0621,3.399659,0.948781,-0.820868,1237.0131,2.067927,0.558008,-0.501078,1459.6356,2.149242,0.614619,-0.503861,4685.7753,4.277604,1.818559,-1.530519,4176.4453,4.281373,1.62805,-1.323505
1,30,42103.582,3.454189,10.508439,-9.478675,37562.3008,2.840403,9.511703,-8.184333,5476.3898,3.929721,1.717418,-1.43627,5140.8302,3.880357,1.6496,-1.377502,1409.2183,2.316449,0.572576,-0.532147,1647.678,2.443898,0.725644,-0.676717,6145.6659,4.998625,2.407405,-1.994748,6197.3047,4.99781,2.545978,-2.18512,32366.9336,2.742087,8.29021,-7.171543,35597.002,2.916899,8.951225,-7.914062,5968.8666,4.056138,1.935885,-1.791556,4409.1721,4.286887,1.390353,-1.254904,1735.0383,2.466508,0.841068,-0.711579,2040.1528,2.572696,0.93263,-0.730332,6630.1836,5.369827,2.790448,-2.384784,5914.6685,5.396827,2.476956,-1.993659
1,40,42825.9883,3.451192,16.266853,-9.689894,38379.0664,2.851173,14.566782,-8.470092,5670.7144,3.994661,2.963585,-1.504534,5343.8337,3.962529,2.653653,-1.465905,1499.3987,2.415714,0.834066,-0.562486,1747.0367,2.543528,1.04536,-0.720969,6361.2179,5.11854,3.5118,-2.164832,6443.5758,5.138118,3.618647,-2.328864,33300.6055,2.765042,13.022406,-7.466897,36487.1211,2.937415,14.504802,-8.135443,6187.1446,4.127966,3.242992,-1.676956,4570.3443,4.382205,2.334433,-1.315083,1837.0551,2.560248,1.226975,-0.785627,2144.8436,2.660842,1.322181,-0.777995,6933.2844,5.50727,4.04255,-2.607199,6147.4744,5.501071,3.569823,-2.146158
1,50,58151.1757,4.194839,15.715298,-13.580692,51975.5899,3.480866,14.379885,-11.707853,7483.3656,5.074172,2.55801,-2.059119,6995.2396,4.995555,2.500523,-2.006992,1976.1011,2.893531,0.871868,-0.753798,2286.8792,3.058936,1.145093,-0.949063,8474.3696,6.673105,3.650673,-2.99295,8547.2146,6.68909,3.889228,-3.30519,45212.6523,3.38421,12.5758,-10.152834,49670.9785,3.602189,13.542131,-12.009161,8128.6561,5.244599,2.896088,-2.412309,6086.2545,5.642596,2.071232,-1.798607,2388.1891,3.067174,1.322201,-1.018826,2784.4952,3.196657,1.419936,-1.022919,9179.2338,7.214645,4.367815,-3.594763,8158.6449,7.174334,3.829303,-2.931265
1,75,79872.1308,5.553595,27.19177,-18.399695,69637.2754,4.365858,24.791658,-16.549555,9835.1174,6.299183,3.796117,-2.906302,9255.4179,6.238049,3.689638,-2.807461,2606.0369,3.490512,1.241189,-1.043806,3022.4085,3.711339,1.648878,-1.286708,11188.9991,8.323346,5.292209,-4.210229,11383.0917,8.409444,5.630515,-4.577134,61319.5254,4.253409,21.247317,-13.930309,67797.5839,4.607981,23.213847,-15.317321,10784.8729,6.575018,4.299588,-3.263856,8034.6098,7.032801,3.034488,-2.530747,3135.2399,3.69866,1.939194,-1.407632,3581.2419,3.801432,1.994314,-1.406994,12317.599,9.126387,6.431166,-5.09217,10731.9632,8.900291,5.620025,-4.173558
1,100,94981.5859,5.872932,32.673187,-22.253267,82237.3906,4.791826,29.674004,-18.842302,11763.6746,7.182966,4.384479,-3.805841,11135.1424,7.077395,4.426393,-3.583348,3137.4044,3.976838,1.556548,-1.390487,3648.1385,4.225473,2.059313,-1.642684,13491.3383,9.429182,6.419015,-5.622684,13863.3439,9.558369,6.848187,-5.968822,73148.6308,4.703971,25.719414,-16.757599,80701.8926,4.987113,27.946251,-18.354497,13001.422,7.465825,5.091477,-4.191203,9607.6811,7.993631,3.456891,-3.278151,3784.3863,4.208613,2.439297,-1.766002,4224.2833,4.260557,2.597907,-1.856324,15106.7735,10.452707,7.789363,-6.463239,12925.3449,10.10324,6.913722,-5.363093
1,125,108075.6269,6.064713,38.059268,-26.199885,93658.4727,5.424357,34.234901,-22.433893,13541.5728,8.382525,5.171619,-4.448414,12920.0123,8.020969,4.821765,-4.096956,3612.1445,4.529567,1.908625,-1.63818,4197.0498,4.704184,2.274795,-1.810561,15550.623,11.086588,7.556179,-6.670267,16133.5043,10.930175,7.597568,-6.764925,84127.4199,5.43727,29.933688,-20.933747,91696.9531,5.116772,31.386522,-22.781483,15193.3403,8.556785,5.440173,-4.930537,11070.1141,9.440263,4.15116,-3.855341,4343.6283,4.656264,2.713749,-1.926289,4807.7595,4.860622,3.211212,-2.237298,17815.9929,12.022409,8.792724,-7.838325,14926.7949,11.930814,8.009728,-6.616902
1,150,121315.7675,7.118364,42.979381,-28.351092,104314.9746,6.027791,39.371068,-23.220528,15480.8656,9.373102,5.611369,-5.309095,14627.7208,9.023476,5.501471,-4.936634,4082.7827,4.951989,2.085718,-1.90264,4715.1862,5.184557,2.588942,-2.151708,17748.6353,12.468714,8.217753,-7.91023,18320.0794,12.349696,8.471937,-8.210557,94002.9082,6.005782,34.106343,-21.003235,103262.7676,5.902875,35.929658,-23.43965,17230.8005,9.657979,6.230721,-5.831561,12660.6886,10.519742,4.474734,-4.574772,4882.879,5.139976,3.109878,-2.323097,5394.4516,5.275126,3.502599,-2.541416,20301.2505,13.630299,9.685876,-9.251645,17089.4369,13.418815,8.789605,-7.752369
1,175,133600.9805,7.806088,46.897557,-30.563264,114217.8242,6.585496,42.847164,-25.069132,17278.789,10.357104,6.277621,-6.152162,16310.1106,9.915118,6.096359,-5.69099,4520.9773,5.401456,2.313596,-2.152058,5221.3996,5.658784,2.812872,-2.432758,19767.1342,13.74441,8.949866,-9.133286,20467.1263,13.648861,9.193924,-9.50787,103360.2793,6.608673,36.579121,-22.809535,114002.9297,6.489845,38.376639,-25.333606,19290.5461,10.6736,6.906473,-6.80128,14135.547,11.605377,4.995327,-5.258827,5409.0804,5.60597,3.379307,-2.616148,5932.7168,5.731873,3.791363,-2.86145,22802.1653,15.126447,10.116197,-10.937161,19098.2395,14.844685,9.17027,-9.16701
1,200,143388.4375,8.108682,52.804172,-32.890471,122010.6719,6.956462,46.742837,-26.423134,19472.7439,11.267176,6.858188,-7.369831,18399.2672,10.731892,6.638822,-6.694998,5034.2231,5.827544,2.47515,-2.54641,5815.1693,6.086958,3.025276,-2.80983,22227.4352,14.977181,9.699473,-10.865528,23063.9954,14.734487,9.900492,-11.080051,110872.4551,7.041253,39.662181,-24.079832,122392.7774,6.781744,42.511874,-27.024136,21808.7202,11.523478,7.434072,-7.934111,15885.1726,12.630839,5.549632,-6.233728,6011.6316,6.012129,3.677663,-3.046276,6552.559,6.146578,4.079744,-3.400962,25847.7678,16.515141,10.762217,-12.799887,21499.6969,16.167038,9.793525,-10.779493
1,225,153219.6758,8.550419,59.010483,-34.915356,129875.9707,7.348401,50.691692,-27.978766,21391.2269,12.024709,7.608998,-8.229359,20160.0671,11.381496,7.223935,-7.451203,5442.1279,6.092408,2.734293,-2.784687,6269.9389,6.315086,3.266212,-3.077121,24375.118,15.930078,10.642948,-12.052257,25272.3561,15.620568,10.742634,-12.28131,118212.6582,7.453614,42.972633,-25.658393,130924.25,7.142357,48.015139,-28.797709,23969.6987,12.292362,8.103104,-8.827882,17428.2935,13.468111,6.243034,-6.912305,6476.5843,6.222253,3.893208,-3.275955,7041.6277,6.40395,4.387166,-3.686758,28422.4158,17.537108,11.380698,-14.498592,23573.8656,17.228245,10.429412,-12.308902
