dataset,tau,ensemble_mean_max_abs_error,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,empirical_crps,normalized_energy_score,weighted_interval_score,mean_absolute_coverage_error
ETTh,1.0,8.881784197001252e-16,2.269120026159637,4.086832967749456,2.4211619605149153,1.9360519404804755,15.010417870469952,8.4196318485347,0.5020931490895942
ETTh,1.1,7.105427357601002e-15,2.269120026159637,4.086832967749456,2.4526905385168125,1.9190695164789275,14.86155510598516,8.244783887768984,0.4766110691596472
ETTh,1.2,3.552713678800501e-15,2.269120026159637,4.086832967749456,2.486957709487365,1.9048256854460368,14.73680921781011,8.08496949040316,0.4521344949161916
ETTh,1.3,7.105427357601002e-15,2.269120026159637,4.086832967749456,2.5237675521913374,1.893124526146565,14.63469468127135,7.939299700976039,0.42865112896707225
ETTh,1.4,7.105427357601002e-15,2.269120026159637,4.086832967749456,2.562930175833729,1.8837761477855117,14.55378505588128,7.8068923339620495,0.4062560268300292
ETTh,1.5,3.552713678800501e-15,2.269120026159637,4.086832967749456,2.6042600537856218,1.8765950237339608,14.49272193541263,7.686913202904058,0.38482100757962506
Energy,1.0,2.7755575615628914e-17,6.203865338964095,18.327549663255315,6.384879994245743,5.697271206526796,39.86597391218265,26.264910950053675,0.6945985880615982
Energy,1.1,2.2737367544323206e-13,6.203865338964095,18.327549663255315,6.422930646850677,5.666560980359837,39.54265891696682,25.978195953422233,0.6857454288377438
Energy,1.2,2.2737367544323206e-13,6.203865338964095,18.327549663255315,6.464311435592386,5.6391808903296505,39.237169148961044,25.71016877517866,0.6771135906858164
Energy,1.3,2.2737367544323206e-13,6.203865338964095,18.327549663255315,6.5087277935370835,5.614836369502456,38.94900767620339,25.459508026699595,0.6687976856264483
Energy,1.4,2.2737367544323206e-13,6.203865338964095,18.327549663255315,6.5559137005540125,5.593261397747487,38.67767025470409,25.224791853250224,0.6607429369985174
Energy,1.5,1.1368683772161603e-13,6.203865338964095,18.327549663255315,6.605635599085697,5.574222417507282,38.42264950831544,25.004946228926844,0.652882303619708
AirQuality,1.0,0.0,171.48824050179564,308.53516922503695,176.63245986958904,153.4961134557735,24.29252245888358,698.4496308140555,0.6440688173497094
AirQuality,1.1,4.547473508864641e-13,171.48824050179564,308.53516922503695,177.68951871114095,152.23953765594382,24.074943323785234,687.7542541258748,0.6298945539540113
AirQuality,1.2,4.547473508864641e-13,171.48824050179564,308.53516922503695,178.8385964218489,151.07498072527025,23.873621347590944,677.5565402211272,0.6159257867188495
AirQuality,1.3,9.094947017729282e-13,171.48824050179564,308.53516922503695,180.0753627181363,149.99811238017605,23.687890013399876,667.8407875220838,0.6021386515739681
AirQuality,1.4,9.094947017729282e-13,171.48824050179564,308.53516922503695,181.3970061181327,149.00612113879095,23.51709754934157,658.5949778182521,0.5886158441517119
AirQuality,1.5,4.547473508864641e-13,171.48824050179564,308.53516922503695,182.7998068640742,148.09528724335095,23.360611421659456,649.7986669215281,0.5752703600292732
