dataset,seed,site,confidence_quintile,windows,confidence_mean,gate_mean,sh64_error_mean,cg64_error_mean,paired_error_improvement_mean,fraction_cg64_better
AirQuality,0,decoder,1,175,0.06151229065827892,0.33061686,198.51366,125.34137,73.1723,0.8742857142857143
AirQuality,0,decoder,2,174,0.07789577209697471,0.55312693,206.11932,155.58421,50.535088,0.896551724137931
AirQuality,0,decoder,3,175,0.08725849072562375,0.7043917,198.82465,180.26852,18.556139,0.7371428571428571
AirQuality,0,decoder,4,174,0.09813996666762383,0.88019377,173.22238,169.59279,3.6296084,0.6839080459770115
AirQuality,0,decoder,5,175,0.123331935585936,0.9999949,200.51389,200.51352,0.00037100655,0.011428571428571429
AirQuality,0,encoder,1,175,0.06151229065827892,0.33061686,198.51366,125.34137,73.1723,0.8742857142857143
AirQuality,0,encoder,2,174,0.07789577209697471,0.55312693,206.11932,155.58421,50.535088,0.896551724137931
AirQuality,0,encoder,3,175,0.08725849072562375,0.7043917,198.82465,180.26852,18.556139,0.7371428571428571
AirQuality,0,encoder,4,174,0.09813996666762383,0.88019377,173.22238,169.59279,3.6296084,0.6839080459770115
AirQuality,0,encoder,5,175,0.123331935585936,0.9999949,200.51389,200.51352,0.00037100655,0.011428571428571429
AirQuality,42,decoder,1,175,0.06151229065827892,0.33061686,178.42232,167.6945,10.727823,0.5771428571428572
AirQuality,42,decoder,2,174,0.07789577209697471,0.55312693,179.2633,180.0148,-0.75149363,0.5
AirQuality,42,decoder,3,175,0.08725849072562375,0.7043917,174.0537,177.19891,-3.1452184,0.46285714285714286
AirQuality,42,decoder,4,174,0.09813996666762383,0.88019377,169.77109,170.54901,-0.777942,0.39080459770114945
AirQuality,42,decoder,5,175,0.123331935585936,0.9999949,170.6237,170.62273,0.000993478,0.011428571428571429
AirQuality,42,encoder,1,175,0.06151229065827892,0.33061686,178.42232,167.6945,10.727823,0.5771428571428572
AirQuality,42,encoder,2,174,0.07789577209697471,0.55312693,179.2633,180.0148,-0.75149363,0.5
AirQuality,42,encoder,3,175,0.08725849072562375,0.7043917,174.0537,177.19891,-3.1452184,0.46285714285714286
AirQuality,42,encoder,4,174,0.09813996666762383,0.88019377,169.77109,170.54901,-0.777942,0.39080459770114945
AirQuality,42,encoder,5,175,0.123331935585936,0.9999949,170.6237,170.62273,0.000993478,0.011428571428571429
AirQuality,123,decoder,1,175,0.06151229065827892,0.33061686,183.90091,134.06752,49.83338,0.8571428571428571
AirQuality,123,decoder,2,174,0.07789577209697471,0.55312693,199.69783,168.46603,31.23178,0.8850574712643678
AirQuality,123,decoder,3,175,0.08725849072562375,0.7043917,205.79889,189.43066,16.368189,0.8057142857142857
AirQuality,123,decoder,4,174,0.09813996666762383,0.88019377,179.57088,174.79346,4.7774134,0.735632183908046
AirQuality,123,decoder,5,175,0.123331935585936,0.9999949,208.12822,208.1288,-0.00055629184,0.0
AirQuality,123,encoder,1,175,0.06151229065827892,0.33061686,183.90091,134.06752,49.83338,0.8571428571428571
AirQuality,123,encoder,2,174,0.07789577209697471,0.55312693,199.69783,168.46603,31.23178,0.8850574712643678
AirQuality,123,encoder,3,175,0.08725849072562375,0.7043917,205.79889,189.43066,16.368189,0.8057142857142857
AirQuality,123,encoder,4,174,0.09813996666762383,0.88019377,179.57088,174.79346,4.7774134,0.735632183908046
AirQuality,123,encoder,5,175,0.123331935585936,0.9999949,208.12822,208.1288,-0.00055629184,0.0
ETTh,0,decoder,1,336,0.04300683226925345,0.35724545,2.367091,2.3359463,0.031144602,0.5327380952380952
ETTh,0,decoder,2,336,0.05947727491622411,0.57779545,2.2264714,2.2209222,0.0055494243,0.49702380952380953
ETTh,0,decoder,3,335,0.07318560210086857,0.7743946,2.2117274,2.1818957,0.029831747,0.5223880597014925
ETTh,0,decoder,4,336,0.08801518723041453,0.95711946,2.3587482,2.3510954,0.0076526008,0.31547619047619047
ETTh,0,decoder,5,336,0.11879476260760766,1.0,2.2448642,2.2448642,0.0,0.0
ETTh,0,encoder,1,336,0.04300683226925345,0.35724545,2.367091,2.3359463,0.031144602,0.5327380952380952
