dataset,seed,site,entropy_quintile,windows,spectral_entropy_mean,gate_mean,paired_error_improvement_mean,fraction_cg64_better
AirQuality,0,decoder,1,175,0.8158620722775715,0.9990136,0.029817766,0.045714285714285714
AirQuality,0,decoder,2,174,0.8453019742747783,0.8788544,2.409018,0.6149425287356322
AirQuality,0,decoder,3,175,0.8584328425261444,0.704401,19.104649,0.7714285714285715
AirQuality,0,decoder,4,174,0.8702504638763732,0.5536568,50.98749,0.9022988505747126
AirQuality,0,decoder,5,175,0.8915016772475568,0.3323937,73.35814,0.8685714285714285
AirQuality,0,encoder,1,175,0.8158620722775715,0.9990136,0.029817766,0.045714285714285714
AirQuality,0,encoder,2,174,0.8453019742747783,0.8788544,2.409018,0.6149425287356322
AirQuality,0,encoder,3,175,0.8584328425261444,0.704401,19.104649,0.7714285714285715
AirQuality,0,encoder,4,174,0.8702504638763732,0.5536568,50.98749,0.9022988505747126
AirQuality,0,encoder,5,175,0.8915016772475568,0.3323937,73.35814,0.8685714285714285
AirQuality,42,decoder,1,175,0.8158620722775715,0.9990136,-0.029900163,0.005714285714285714
AirQuality,42,decoder,2,174,0.8453019742747783,0.8788544,-0.8010731,0.39655172413793105
AirQuality,42,decoder,3,175,0.8584328425261444,0.704401,-2.5156753,0.48
AirQuality,42,decoder,4,174,0.8702504638763732,0.5536568,-2.0401409,0.47126436781609193
AirQuality,42,decoder,5,175,0.8915016772475568,0.3323937,11.433455,0.5885714285714285
AirQuality,42,encoder,1,175,0.8158620722775715,0.9990136,-0.029900163,0.005714285714285714
AirQuality,42,encoder,2,174,0.8453019742747783,0.8788544,-0.8010731,0.39655172413793105
AirQuality,42,encoder,3,175,0.8584328425261444,0.704401,-2.5156753,0.48
AirQuality,42,encoder,4,174,0.8702504638763732,0.5536568,-2.0401409,0.47126436781609193
AirQuality,42,encoder,5,175,0.8915016772475568,0.3323937,11.433455,0.5885714285714285
AirQuality,123,decoder,1,175,0.8158620722775715,0.9990136,0.028657576,0.03428571428571429
