dataset,seed,site,gate_mean,gate_median,gate_q10,gate_q90,floor_fraction,ceiling_fraction,gate_error_correlation,gate_improvement_correlation
AirQuality,0,decoder,0.69361216,0.70479757,0.33168903589248655,1.0,0.06872852233676977,0.1981672394043528,-0.0533917664963274,-0.6203810689569231
AirQuality,0,encoder,0.69361216,0.70479757,0.33168903589248655,1.0,0.06872852233676977,0.1981672394043528,-0.0533917664963274,-0.6203810689569231
AirQuality,42,decoder,0.69361216,0.70479757,0.33168903589248655,1.0,0.06872852233676977,0.1981672394043528,-0.0647595087968576,-0.1589635825053435
AirQuality,42,encoder,0.69361216,0.70479757,0.33168903589248655,1.0,0.06872852233676977,0.1981672394043528,-0.0647595087968576,-0.1589635825053435
AirQuality,123,decoder,0.69361216,0.70479757,0.33168903589248655,1.0,0.06872852233676977,0.1981672394043528,0.07475104803305826,-0.547265721928504
AirQuality,123,encoder,0.69361216,0.70479757,0.33168903589248655,1.0,0.06872852233676977,0.1981672394043528,0.07475104803305826,-0.547265721928504
ETTh,0,decoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.05122096486003574,0.285288862418106,-0.0329271734492364,-0.059277603353136324
ETTh,0,encoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.05122096486003574,0.285288862418106,-0.0329271734492364,-0.059277603353136324
ETTh,42,decoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.05122096486003574,0.285288862418106,-0.07886956532599097,-0.19105493174725383
ETTh,42,encoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.05122096486003574,0.285288862418106,-0.07886956532599097,-0.19105493174725383
ETTh,123,decoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.05122096486003574,0.285288862418106,0.011573031530146528,-0.07126199090415365
ETTh,123,encoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.05122096486003574,0.285288862418106,0.011573031530146528,-0.07126199090415365
Energy,0,decoder,0.70387673,0.72441536,0.36780256032943726,1.0,0.052328623757195186,0.18053375196232338,-0.10004634441986507,0.1191300872561826
Energy,0,encoder,0.70387673,0.72441536,0.36780256032943726,1.0,0.052328623757195186,0.18053375196232338,-0.10004634441986507,0.1191300872561826
Energy,42,decoder,0.70387673,0.72441536,0.36780256032943726,1.0,0.052328623757195186,0.18053375196232338,-0.20642780697505436,-0.4018365159003647
Energy,42,encoder,0.70387673,0.72441536,0.36780256032943726,1.0,0.052328623757195186,0.18053375196232338,-0.20642780697505436,-0.4018365159003647
Energy,123,decoder,0.70387673,0.72441536,0.36780256032943726,1.0,0.052328623757195186,0.18053375196232338,-0.20093058363730065,-0.11350313468814763
Energy,123,encoder,0.70387673,0.72441536,0.36780256032943726,1.0,0.052328623757195186,0.18053375196232338,-0.20093058363730065,-0.11350313468814763
