dataset,seed,window,site,confidence,normalized_confidence,gate,topk_mass,spectral_entropy,top1_period,candidate_vector,sh64_error,cg64_error,paired_error_improvement
ETTh,0,0,encoder,0.05484119315313796,0.34840894,0.5113067,0.5576778564717032,0.9016615192503692,64,"[64, 21, 16, 32, 9, 12, 8, 10, 4]",2.2295833,2.2472084,-0.017625093
ETTh,0,0,decoder,0.05484119315313796,0.34840894,0.5113067,0.5576778564717032,0.9016615192503692,64,"[64, 21, 16, 32, 9, 12, 8, 10, 4]",2.2295833,2.2472084,-0.017625093
ETTh,0,1,encoder,0.061295155827263303,0.47182235,0.60386676,0.5695120692744986,0.8923725077409734,64,"[64, 21, 16, 32, 12, 9, 8, 10, 2]",2.307047,2.3115704,-0.0045235157
ETTh,0,1,decoder,0.061295155827263303,0.47182235,0.60386676,0.5695120692744986,0.8923725077409734,64,"[64, 21, 16, 32, 12, 9, 8, 10, 2]",2.307047,2.3115704,-0.0045235157
ETTh,0,2,encoder,0.06017739555601808,0.45044836,0.58783627,0.5661354022829709,0.8937049417624308,64,"[64, 21, 16, 32, 9, 12, 8, 10, 2]",2.2792013,2.226035,0.05316615
ETTh,0,2,decoder,0.06017739555601808,0.45044836,0.58783627,0.5661354022829709,0.8937049417624308,64,"[64, 21, 16, 32, 9, 12, 8, 10, 2]",2.2792013,2.226035,0.05316615
ETTh,0,3,encoder,0.05823567956839094,0.41331863,0.559989,0.5609895894465352,0.8961911581534954,64,"[64, 21, 16, 9, 12, 32, 8, 10, 2]",2.2874172,2.2824438,0.0049734116
ETTh,0,3,decoder,0.05823567956839094,0.41331863,0.559989,0.5609895894465352,0.8961911581534954,64,"[64, 21, 16, 9, 12, 32, 8, 10, 2]",2.2874172,2.2824438,0.0049734116
ETTh,0,4,encoder,0.05948553804025489,0.43721858,0.57791394,0.5623451960581471,0.8942188206510365,64,"[64, 21, 16, 9, 12, 32, 8, 10, 5]",2.5694535,2.5458953,0.02355814
ETTh,0,4,decoder,0.05948553804025489,0.43721858,0.57791394,0.5623451960581471,0.8942188206510365,64,"[64, 21, 16, 9, 12, 32, 8, 10, 5]",2.5694535,2.5458953,0.02355814
ETTh,0,5,encoder,0.06107900523627933,0.46768904,0.6007668,0.5653833754518951,0.891968869464086,64,"[64, 21, 16, 9, 12, 8, 32, 2, 10]",2.419398,2.361714,0.057684183
ETTh,0,5,decoder,0.06107900523627933,0.46768904,0.6007668,0.5653833754518951,0.891968869464086,64,"[64, 21, 16, 9, 12, 8, 32, 2, 10]",2.419398,2.361714,0.057684183
ETTh,0,6,encoder,0.06428814442495173,0.5290546,0.6467909,0.570111071959097,0.8872357552993391,64,"[64, 21, 16, 12, 9, 8, 32, 2, 4]",2.6222477,2.830893,-0.20864534
ETTh,0,6,decoder,0.06428814442495173,0.5290546,0.6467909,0.570111071959097,0.8872357552993391,64,"[64, 21, 16, 12, 9, 8, 32, 2, 4]",2.6222477,2.830893,-0.20864534
ETTh,0,7,encoder,0.072590002003732,0.68780357,0.7658527,0.5854726428078856,0.8760146987302507,64,"[64, 21, 16, 12, 9, 8, 32, 2, 6]",2.850243,3.0638885,-0.21364546
ETTh,0,7,decoder,0.072590002003732,0.68780357,0.7658527,0.5854726428078856,0.8760146987302507,64,"[64, 21, 16, 12, 9, 8, 32, 2, 6]",2.850243,3.0638885,-0.21364546
ETTh,0,8,encoder,0.07345687324452742,0.70438,0.77828497,0.5875670758881631,0.8749812978654558,64,"[64, 21, 16, 12, 9, 8, 32, 2, 5]",3.0219212,3.1992786,-0.17735744
ETTh,0,8,decoder,0.07345687324452742,0.70438,0.77828497,0.5875670758881631,0.8749812978654558,64,"[64, 21, 16, 12, 9, 8, 32, 2, 5]",3.0219212,3.1992786,-0.17735744
ETTh,0,9,encoder,0.07282658120374548,0.6923275,0.7692456,0.5857245328659875,0.8756641098036301,64,"[64, 21, 16, 12, 9, 8, 32, 2, 6]",2.6524556,2.9324174,-0.27996182
ETTh,0,9,decoder,0.07282658120374548,0.6923275,0.7692456,0.5857245328659875,0.8756641098036301,64,"[64, 21, 16, 12, 9, 8, 32, 2, 6]",2.6524556,2.9324174,-0.27996182
ETTh,0,10,encoder,0.0714209244204011,0.66544837,0.74908626,0.5862485217871838,0.8781729560653325,64,"[64, 21, 16, 12, 9, 8, 32, 2, 10]",2.855494,3.0771642,-0.22167015
ETTh,0,10,decoder,0.0714209244204011,0.66544837,0.74908626,0.5862485217871838,0.8781729560653325,64,"[64, 21, 16, 12, 9, 8, 32, 2, 10]",2.855494,3.0771642,-0.22167015
ETTh,0,11,encoder,0.06629921138244373,0.56751037,0.6756328,0.5759935356195318,0.8848959106613357,64,"[64, 21, 16, 12, 9, 8, 32, 10, 2]",2.521731,2.831472,-0.30974102
ETTh,0,11,decoder,0.06629921138244373,0.56751037,0.6756328,0.5759935356195318,0.8848959106613357,64,"[64, 21, 16, 12, 9, 8, 32, 10, 2]",2.521731,2.831472,-0.30974102
ETTh,0,12,encoder,0.06353987773937453,0.5147461,0.6360596,0.5708311273564064,0.8886888351137472,64,"[64, 21, 16, 12, 9, 32, 8, 6, 10]",2.7766922,2.6388645,0.13782763
ETTh,0,12,decoder,0.06353987773937453,0.5147461,0.6360596,0.5708311273564064,0.8886888351137472,64,"[64, 21, 16, 12, 9, 32, 8, 6, 10]",2.7766922,2.6388645,0.13782763
ETTh,0,13,encoder,0.05996946145078509,0.44647226,0.5848542,0.5617510480554397,0.8932454836383916,64,"[64, 21, 16, 12, 9, 32, 8, 6, 10]",2.4175534,2.6678407,-0.2502873
ETTh,0,13,decoder,0.05996946145078509,0.44647226,0.5848542,0.5617510480554397,0.8932454836383916,64,"[64, 21, 16, 12, 9, 32, 8, 6, 10]",2.4175534,2.6678407,-0.2502873
ETTh,0,14,encoder,0.05605804588845597,0.37167773,0.5287583,0.5496825561299407,0.8980174188478263,64,"[64, 21, 16, 32, 12, 9, 8, 10, 6]",2.3652284,2.4476483,-0.08241987
ETTh,0,14,decoder,0.05605804588845597,0.37167773,0.5287583,0.5496825561299407,0.8980174188478263,64,"[64, 21, 16, 32, 12, 9, 8, 10, 6]",2.3652284,2.4476483,-0.08241987
