dataset,system,seed,split,draws,windows,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,expected_sample_rmse,empirical_crps,normalized_energy_score,weighted_interval_score,picp_50,mpiw_50,interval_score_50,picp_80,mpiw_80,interval_score_80,picp_90,mpiw_90,interval_score_90,picp_95,mpiw_95,interval_score_95,mean_ensemble_std,median_ensemble_std,spread_skill_ratio,mean_absolute_coverage_error,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,boundary_jump_mae,spectral_log_amplitude_mae,acf_mae_lags_1_32,dominant_frequency_index_error,cross_correlation_phase_lag_mae
ETTh,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,1679,2.281822204589844,4.105774879455566,2.4251914024353027,4.180873394012451,1.951236516237259,14.897417603972464,8.508695602416992,0.1648488683740321,1.0440261430177613,8.41295620626977,0.2944753467199864,1.8817326831081236,16.824258520668362,0.3338190249298051,2.160968196482467,30.151263536898288,0.352561580022122,2.3005859531696395,56.53488458062109,0.8927381634712219,0.5933965444564819,0.2174347570633489,0.5010737949885136,0.9878911972045898,1.2821323871612549,4.918920516967773,0.5684722171576592,0.8988599012456887,0.7519175410270691,0.4495532890659478,0.270027379089858,0.980430528375734,20.23160044244023
ETTh,PETS_SHTRAIN_SH64_REC,42,DEV_VAL,5,1679,2.2604963779449463,4.0674662590026855,2.449502944946289,4.203653335571289,1.894725680351257,14.56761580221473,8.084160804748535,0.2013953884114694,1.2323891194898773,8.23442437635229,0.3508638751808049,2.2036533419716,15.864482081429202,0.3949483642474262,2.527408082784373,27.815055186172398,0.4155149217221135,2.6892854531907595,51.41418508722957,1.0452686548233032,0.698776364326477,0.2569827475543941,0.4468193626095465,0.9911742210388184,1.287553787231445,4.950750350952148,0.5693230637500186,0.8947811560215877,0.7565817832946777,0.447578389368558,0.2664233772014563,0.9798349357610824,20.07938398706713
ETTh,PETS_SHTRAIN_SH64_REC,123,DEV_VAL,5,1679,2.3258419036865234,4.1050543785095215,2.4636521339416504,4.187113285064697,1.9855125546455383,15.110126151096024,8.665009498596191,0.1569293478260869,1.0540765993467005,8.565734129545447,0.281531842933719,1.898431156388666,17.138849792949657,0.3205684187016081,2.179882675356243,30.71883952112292,0.3391447928188547,2.3206084348400315,57.60669167126102,0.8997862339019775,0.5859537124633789,0.2191898452338347,0.5129563994299329,0.9869155883789062,1.301659345626831,5.046990394592285,0.5717108364092113,0.89100895277802,0.7579895853996277,0.4432577304074563,0.2617407127381486,0.8818174083212796,20.170935080405
ETTh,PETS_SHTRAIN_CG64_REC,0,DEV_VAL,5,1679,2.266995429992676,4.164626121520996,2.418574333190918,4.2886962890625,1.950939804315567,14.935694076060276,8.519458770751953,0.157644590742789,1.0268707320471515,8.399414366371348,0.2817538607164128,1.856317809562609,16.851018371606326,0.3194702948183442,2.1328001687359275,30.28280623352262,0.3373779566919084,2.2710413483225875,56.88985532289615,0.8885470032691956,0.5264140367507935,0.213355767682858,0.5134383242576364,0.9830988645553588,1.2556337118148804,4.96437931060791,0.566184385209315,0.8889257692069628,0.7545259594917297,0.4659195726577044,0.2738768155701683,1.0250999744746023,20.591083127712075
ETTh,PETS_SHTRAIN_CG64_REC,42,DEV_VAL,5,1679,2.224156141281128,3.956384658813477,2.397606134414673,4.123030185699463,1.866568148136139,14.707363037851504,8.004260063171387,0.1848065387560623,1.1728494372484644,8.088963732307954,0.3252653577809921,2.108678946213555,15.751158934683748,0.3675005849570322,2.420622115907783,27.768096160954872,0.3872840976771888,2.5765937007548985,51.50479196219796,1.0041425228118896,0.6266259551048279,0.2538030574390694,0.4712858552071812,0.9943762421607972,1.2851057052612305,4.93580961227417,0.5685464974157223,0.8841279288087366,0.7667585015296936,0.4497845948041027,0.2719816745643924,1.041010805751723,20.271420062962648
ETTh,PETS_SHTRAIN_CG64_REC,123,DEV_VAL,5,1679,2.316208600997925,4.139488697052002,2.447305917739868,4.207610607147217,1.9906488358974457,15.388196489089886,8.735177993774414,0.1525501467710371,1.0075796807241506,8.558467786805483,0.2727375457330043,1.8132209545743647,17.314741122813558,0.310177454692419,2.081768045849489,31.22360363523243,0.3283137815876797,2.2160415914870524,58.77937766953622,0.8606891632080078,0.5552667379379272,0.2079216121114089,0.521555267803965,0.9806979298591614,1.2863168716430664,5.112240314483643,0.5696053287306584,0.8860804884307594,0.7787378430366516,0.4558078076068497,0.2621892644455475,0.8985790861907598,20.330553901131623
Energy,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,1911,6.423834323883057,18.12106132507324,6.67025089263916,17.114585876464844,5.823279857635498,42.35779412591017,26.56151962280273,0.0608288129812364,1.9104657839200527,24.386343088127163,0.1047153579838528,3.367189004989923,53.38938658299181,0.1187056725162592,3.852763412153825,100.49851882032534,0.1256733806159826,4.095550615735779,194.24130901225848,1.61090087890625,0.2138687968254089,0.0888966076549458,0.6850191939756671,2.523602247238159,3.962965965270996,36.879188537597656,0.3752060217074794,0.5350899693820416,3.652488231658936,0.3782676795525088,0.4523305154238471,1.7692868356133662,18.53373327352919
Energy,PETS_SHTRAIN_SH64_REC,42,DEV_VAL,5,1911,6.793868541717529,20.862512588500977,7.026095867156982,19.678327560424805,6.125578463077545,42.84901083350866,27.950347900390625,0.0586340477124915,1.9891187284268843,25.64924030903976,0.1003410120916498,3.575849581646446,56.23911292840253,0.1140288017679599,4.104759866194065,105.81041517523708,0.1208096219256933,4.369215008467884,204.41482040565845,1.7264970541000366,0.1989711076021194,0.0827559502613146,0.6890466291255514,2.557238340377808,3.9672060012817374,36.87182235717773,0.3724664817959278,0.5370762881043466,4.315637588500977,0.3812225514342014,0.4420989178504774,1.815205202960305,18.33886521641624
Energy,PETS_SHTRAIN_SH64_REC,123,DEV_VAL,5,1911,6.472795009613037,19.92974853515625,6.73306131362915,18.80404281616211,5.765440940856934,41.090386092179344,26.04718017578125,0.0690743673843163,2.16227899961638,24.285756020190725,0.119474249177693,3.844811995481403,52.19825206527423,0.1355746453801301,4.40565632749225,97.30026869284129,0.1434706609292068,4.686078493497667,186.95949626406008,1.8432602882385252,0.2514359652996063,0.0924878848815878,0.6706015192821634,2.559041976928711,3.9882493019104,37.041595458984375,0.3774557965520064,0.5312498731169286,3.707990884780884,0.3841564471339134,0.4524415683210523,1.828287358899604,18.231984002392167
Energy,PETS_SHTRAIN_CG64_REC,0,DEV_VAL,5,1911,6.1402692794799805,17.844499588012695,6.325450897216797,16.450576782226562,5.65093070268631,40.52397810042479,26.063077926635746,0.0507511727218359,1.5304234625879816,23.512257409659824,0.0874729012484114,2.682490117383776,52.574659118933205,0.0993318172049039,3.066512335694507,100.02623518981414,0.10522258353891,3.2585234448498737,194.5507429926689,1.2812238931655884,0.1748370826244354,0.0717993736303073,0.7018053813214846,2.4709737300872803,3.923662662506104,36.75501251220703,0.3759592097784517,0.5393392948471564,3.819885015487671,0.4048440449175904,0.4529473695311645,1.959856470060552,17.7761643118786
Energy,PETS_SHTRAIN_CG64_REC,42,DEV_VAL,5,1911,6.261996269226074,18.69804954528809,6.44748067855835,17.31509017944336,5.763583719730377,39.70811881878232,26.59592056274414,0.0589590575241085,1.5423868969476044,23.972491350357053,0.0935961094602676,2.7188498950472098,53.66687811759864,0.1052155752410854,3.1110042277927605,102.1419915908358,0.1110199059019212,3.307081394165542,198.7062616638469,1.300757646560669,0.1513777673244476,0.0695664883874725,0.6953023379681542,2.498812437057495,3.926231622695923,36.70575714111328,0.3782181806963148,0.5427383681997937,4.142167568206787,0.4027487934182764,0.4492412457766168,1.847518128130373,17.94982058757569
Energy,PETS_SHTRAIN_CG64_REC,123,DEV_VAL,5,1911,6.20932674407959,18.44010162353516,6.381720542907715,17.48825454711914,5.677309930324554,39.36582481593232,26.13573455810547,0.0634686051618449,1.5856653220496315,23.6681616826362,0.1027264614637063,2.8001064174440096,52.70135823063931,0.1154196568737385,3.204920115919028,99.9974944879322,0.1216330969200867,3.407326965156537,194.17222925718835,1.334152340888977,0.1737310886383056,0.0723505958983541,0.6866880448951559,2.466387987136841,3.900115966796875,36.6117057800293,0.378123253487685,0.5395652209730235,4.1930036544799805,0.4213841464848512,0.459515095720379,2.014128728414443,18.00427973387157
AirQuality,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,873,195.45199584960935,343.13134765625,200.6900787353516,342.2725524902344,175.42644882202148,27.28578803765669,800.8959350585938,0.0703632111492936,54.16252234796647,737.6460828661958,0.1300591828942344,100.15486359053892,1611.4613421642423,0.1488481608756522,115.48564400427895,3024.723080196763,0.1579761677485045,123.151034211149,5834.1495666426745,48.02147674560547,17.470674514770508,0.1399507129663755,0.6606883193330788,56.64360046386719,66.70899963378906,254.31224060058597,0.5697396518320536,0.8299758216409245,40.99543762207031,0.4392434343295412,0.3667685706283966,1.16125747740868,19.715031182385133
AirQuality,PETS_SHTRAIN_SH64_REC,42,DEV_VAL,5,873,174.42662048339844,309.2717590332031,180.28094482421875,312.4612121582031,157.0011157989502,24.74885509547338,715.5919799804688,0.0818199535446099,50.80419611798166,659.8736757967108,0.1457935598829069,92.37975719701004,1439.0792011298183,0.1659149484536082,106.23827755628618,2699.34837691143,0.1760571783123329,113.16753773592424,5205.056987041586,44.03351211547852,17.473817825317383,0.1423780569332589,0.6451035899516355,55.6807975769043,65.35176849365234,263.4642028808594,0.5523898414314604,0.8246864836808027,40.653350830078125,0.4258044606228958,0.3602259114992046,1.1699121802214585,19.831360570192185
AirQuality,PETS_SHTRAIN_SH64_REC,123,DEV_VAL,5,873,195.43255615234372,343.2222900390625,199.32861328125,337.9644470214844,176.96302795410156,27.645547984066138,813.5542602539062,0.0677401520936744,48.32294328319669,742.8663008184575,0.1222954053710067,88.70321549431469,1640.6188579254997,0.1403227217767595,102.1633062312374,3094.990305455394,0.149695335369734,108.89335159969885,5988.275088055458,42.138580322265625,18.93103408813477,0.1227734373471775,0.6674865963472063,57.63148880004883,67.64781951904297,251.4486083984375,0.5653355313530953,0.8357801312523082,44.30866241455078,0.4352248364013667,0.3530707760330438,1.131729667812142,19.6125747740868
AirQuality,PETS_SHTRAIN_CG64_REC,0,DEV_VAL,5,873,166.26849365234375,297.1937561035156,171.7364044189453,295.3897399902344,147.43986701965332,23.756570270092585,666.8006591796875,0.0858509927453226,52.789807581832896,623.5078046379712,0.1562301132747868,96.39105531081812,1337.0444570244117,0.1784217099401807,110.92480455319895,2486.291854335543,0.1894031596029018,118.1916791743893,4768.931731832569,46.145694732666016,17.600135803222656,0.1552714139680411,0.635023506109202,54.130653381347656,62.584747314453125,255.17898559570312,0.5713194785359734,0.8157243127828844,37.8161506652832,0.433830660037515,0.3558129022440877,1.211403843706249,19.81443298969072
AirQuality,PETS_SHTRAIN_CG64_REC,42,DEV_VAL,5,873,173.21128845214844,313.44366455078125,179.38375854492188,315.7877502441406,155.28034591674805,24.47975428687376,704.8729858398438,0.0851649007254677,52.41374277169402,654.5871381615801,0.154402523227695,95.62915003474284,1414.4678905893704,0.1762997963599338,110.03428578916042,2642.950142193333,0.1870286846124475,117.2368536663692,5085.066067245682,45.65860366821289,17.199111938476562,0.1456676552504244,0.636776023768614,55.70503616333008,63.37763977050781,262.7919311523437,0.5571252810657163,0.8117287285591132,38.76339721679688,0.4291115013865985,0.3641416463304427,1.187094310805651,20.312842051673663
AirQuality,PETS_SHTRAIN_CG64_REC,123,DEV_VAL,5,873,174.98492431640625,314.9681396484375,178.77732849121094,307.3673095703125,157.7682285308838,24.641242827248025,723.67529296875,0.071289932544228,45.61377522840714,661.7277679742172,0.1295361620211276,83.34542436869566,1458.630549464369,0.1489475945017182,95.92264074880616,2748.349987705799,0.1585986222476772,102.21124893886146,5313.308629088837,39.52529525756836,18.7592887878418,0.1254898203408315,0.6604069221713121,55.783050537109375,64.79483032226562,251.41802978515625,0.5719174692065109,0.8256634144245261,41.41502380371094,0.4291962679222204,0.3494597447762622,1.106783759704722,19.5475372279496
