dataset,seed,site,gate_mean,gate_median,gate_q10,gate_q90,floor_fraction,ceiling_fraction,gate_error_correlation,gate_improvement_correlation
AirQuality,0,decoder,0.69361216,0.70479757,0.3316890358924865,1.0,0.0687285223367697,0.1981672394043528,-0.0533917664963274,-0.6203810689569231
AirQuality,0,encoder,0.69361216,0.70479757,0.3316890358924865,1.0,0.0687285223367697,0.1981672394043528,-0.0533917664963274,-0.6203810689569231
AirQuality,42,decoder,0.69361216,0.70479757,0.3316890358924865,1.0,0.0687285223367697,0.1981672394043528,-0.0647595087968576,-0.1589635825053435
AirQuality,42,encoder,0.69361216,0.70479757,0.3316890358924865,1.0,0.0687285223367697,0.1981672394043528,-0.0647595087968576,-0.1589635825053435
AirQuality,123,decoder,0.69361216,0.70479757,0.3316890358924865,1.0,0.0687285223367697,0.1981672394043528,0.0747510480330582,-0.547265721928504
AirQuality,123,encoder,0.69361216,0.70479757,0.3316890358924865,1.0,0.0687285223367697,0.1981672394043528,0.0747510480330582,-0.547265721928504
ETTh,0,decoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.0512209648600357,0.285288862418106,-0.0329271734492364,-0.0592776033531363
ETTh,0,encoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.0512209648600357,0.285288862418106,-0.0329271734492364,-0.0592776033531363
ETTh,42,decoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.0512209648600357,0.285288862418106,-0.0788695653259909,-0.1910549317472538
ETTh,42,encoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.0512209648600357,0.285288862418106,-0.0788695653259909,-0.1910549317472538
ETTh,123,decoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.0512209648600357,0.285288862418106,0.0115730315301465,-0.0712619909041536
ETTh,123,encoder,0.7332865,0.7771705,0.3623864591121674,1.0,0.0512209648600357,0.285288862418106,0.0115730315301465,-0.0712619909041536
Energy,0,decoder,0.70387673,0.72441536,0.3678025603294372,1.0,0.0523286237571951,0.1805337519623233,-0.100046344419865,0.1191300872561826
Energy,0,encoder,0.70387673,0.72441536,0.3678025603294372,1.0,0.0523286237571951,0.1805337519623233,-0.100046344419865,0.1191300872561826
Energy,42,decoder,0.70387673,0.72441536,0.3678025603294372,1.0,0.0523286237571951,0.1805337519623233,-0.2064278069750543,-0.4018365159003647
Energy,42,encoder,0.70387673,0.72441536,0.3678025603294372,1.0,0.0523286237571951,0.1805337519623233,-0.2064278069750543,-0.4018365159003647
Energy,123,decoder,0.70387673,0.72441536,0.3678025603294372,1.0,0.0523286237571951,0.1805337519623233,-0.2009305836373006,-0.1135031346881476
Energy,123,encoder,0.70387673,0.72441536,0.3678025603294372,1.0,0.0523286237571951,0.1805337519623233,-0.2009305836373006,-0.1135031346881476
