dataset,system,seed,split,draws,windows,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,expected_sample_rmse,empirical_crps,normalized_energy_score,weighted_interval_score,picp_50,mpiw_50,interval_score_50,picp_80,mpiw_80,interval_score_80,picp_90,mpiw_90,interval_score_90,picp_95,mpiw_95,interval_score_95,mean_ensemble_std,median_ensemble_std,spread_skill_ratio,mean_absolute_coverage_error,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,boundary_jump_mae,spectral_log_amplitude_mae,acf_mae_lags_1_32,dominant_frequency_index_error,cross_correlation_phase_lag_mae
ETTh,TS_REC_ORIGINAL,0,FINAL_TEST,10,1679,2.125814199447632,3.84778094291687,2.397252559661865,4.136711597442627,1.728796124458313,13.086575271707632,6.900642395019531,0.2514331447290053,1.5529609738114758,7.551194775456001,0.4301920254403131,2.7837996836537204,13.71138009324732,0.5108004339317621,3.409685454218001,21.81795339063052,0.545504339317621,3.722628339520492,37.79077118760061,1.2346028089523315,0.822913646697998,0.3208609916385785,0.3530175141453245,1.0295886993408203,1.4335442781448364,6.06689977645874,0.57844467944017,0.8534187007816091,0.7768855690956116,0.4765119244509818,0.2266272308825527,0.6245213987917978,20.78371479622224
ETTh,TS_REC_ORIGINAL,42,FINAL_TEST,10,1679,2.053383111953736,3.745582342147827,2.2558038234710693,3.884906768798828,1.7134873270988464,12.99318431597707,7.057501792907715,0.2206032502339828,1.2540218409243085,7.421914461503151,0.3806980132732068,2.253746786752847,14.142199648137538,0.4567410980175274,2.769243993862526,23.361773308826177,0.4899759635837658,3.026992597404773,41.60844361924742,0.9996531009674072,0.6706181764602661,0.2668885662233704,0.4004954187228793,0.9901261925697328,1.4086995124816897,5.915455341339111,0.5960193884979046,0.8667580518037148,0.7721719741821289,0.4606714541643219,0.2222141556842796,0.5806177146260529,20.70977622734621
ETTh,TS_REC_ORIGINAL,123,FINAL_TEST,10,1679,2.191070318222046,3.9916508197784415,2.5155017375946045,4.336302280426025,1.781763195991516,13.307270902227245,7.056769371032715,0.2705147090104654,1.7048766809813916,7.785566711409274,0.4573180783629711,3.0566772307081465,14.002045893516048,0.5395111886326895,3.742783470367345,22.090772265175023,0.5734838977282396,4.085836590230907,37.98527485038127,1.358039617538452,0.901902973651886,0.340220044000199,0.3272930315664085,1.0505750179290771,1.4367337226867676,6.0553154945373535,0.5692514845922486,0.84992768779011,0.7631332874298096,0.4755338807150631,0.2325028966505604,0.6290308857313026,21.062962647834595
ETTh,PETS_SHTRAIN_SH64_REC,0,FINAL_TEST,10,1679,2.084437847137451,3.747368097305298,2.2432403564453125,3.849603176116944,1.7538740634918213,13.545585333121194,7.336141109466553,0.1968579830681528,1.1238438813493836,7.570508793661279,0.3455886263081766,2.02832775495601,14.749884251627108,0.4170610695141666,2.502500617614789,24.79554185073299,0.4494876308176636,2.7395870489204954,44.69280262856864,0.902908205986023,0.6722944974899292,0.2409446263459671,0.4352511725729601,1.0865507125854492,1.5199779272079468,5.825233459472656,0.5895299950434809,0.9079721172946604,0.8704046607017517,0.4499814669287552,0.2148084090883191,0.6565983153237471,20.10576023143028
ETTh,PETS_SHTRAIN_SH64_REC,42,FINAL_TEST,10,1679,2.0558550357818604,3.690728187561035,2.2700345516204834,3.849498271942138,1.702695071697235,12.884047425387283,6.9471282958984375,0.2294680081681273,1.3089146989090414,7.402229586458676,0.3966939292095635,2.3557517921795914,13.888375504880765,0.4752097868629286,2.8982592736896606,22.661114774941154,0.5092994873649281,3.169513014453288,40.01414318576403,1.045796036720276,0.7549911737442017,0.2833576420623311,0.3848321970986131,1.0709956884384155,1.504939317703247,5.796532154083252,0.589873034780718,0.9022549967114434,0.8145790696144104,0.441649335095858,0.2095658712686918,0.5107632093933464,19.75248872628265
ETTh,PETS_SHTRAIN_SH64_REC,123,FINAL_TEST,10,1679,2.057882785797119,3.717160940170288,2.224470853805542,3.775947332382202,1.7306120991706848,13.449837014671926,7.225186347961426,0.2089905236960776,1.1414684858760291,7.469400790498152,0.3627850336084404,2.053387506239305,14.501202828187996,0.4355310878073683,2.522084159959067,24.377954997763588,0.4682554454181911,2.75643248680038,43.91993999493341,0.9078410267829896,0.6902600526809692,0.2442296799614493,0.4186094773674806,1.0715395212173462,1.5080922842025757,5.855862617492676,0.5927280977906351,0.9014671227600798,0.8462010025978088,0.4436135557456327,0.2064725430501979,0.542244533310644,19.96230749595848
ETTh,PETS_SHTRAIN_CG64_REC,0,FINAL_TEST,10,1679,2.130256414413452,4.061062812805176,2.256309747695923,4.0837483406066895,1.842172533273697,13.72819449363294,7.931664943695068,0.1709576810176125,0.941205753421202,7.863839350224069,0.3018178869224879,1.71197388063592,16.044967635286106,0.3652910427124989,2.1223658704320867,27.941651546915782,0.3943022526163532,2.3275618653517576,51.52040794261988,0.7665126323699951,0.5262227058410645,0.1887468053813546,0.4794077841827618,1.069709300994873,1.4588720798492432,5.831761837005615,0.5979992950128235,0.8810587270134083,0.9202170968055724,0.4618693502146306,0.2153281829146455,0.5874244873649281,20.697268782438528
ETTh,PETS_SHTRAIN_CG64_REC,42,FINAL_TEST,10,1679,2.0376088619232178,3.603047609329224,2.226625680923462,3.755173444747925,1.705151379108429,12.530997952809138,7.058987140655518,0.2117610929124478,1.195066028348777,7.380557911283402,0.3696955032757594,2.162086090552635,14.163473730199788,0.4462318131540883,2.6677561025793115,23.529931924432493,0.4795796817833744,2.9205911085701683,42.081377407982494,0.9618147611618042,0.6594486236572266,0.266944782708787,0.4106829772185825,1.0432641506195068,1.4686565399169922,5.806065082550049,0.5897190720640053,0.89434968480882,0.8252251148223877,0.4444429557896165,0.2157383410223833,0.499957457670382,20.25040415213137
ETTh,PETS_SHTRAIN_CG64_REC,123,FINAL_TEST,10,1679,2.0032925605773926,3.66454553604126,2.1678919792175293,3.7190425395965576,1.694281667470932,12.977467770083932,7.097118854522705,0.2049662852037777,1.0953217765472685,7.302538966681803,0.3544879498851357,1.969656834136113,14.257827515888277,0.4257915532204543,2.418335276928194,24.067590393783448,0.4568501127371734,2.6426744983000043,43.48597562893691,0.8729016184806824,0.6405272483825684,0.2382018752108786,0.4269760247383647,1.0538110733032229,1.4704675674438477,5.87674617767334,0.5919407270551659,0.8930879691938409,0.7976752519607544,0.4526727877380649,0.2111584697265436,0.5827448311069514,20.65191865906577
Energy,TS_REC_ORIGINAL,0,FINAL_TEST,10,1910,5.729442119598389,20.224027633666992,6.058778762817383,18.531784057617188,4.981587052345276,26.181964914662032,21.68536758422852,0.1061027486910994,2.5834143266249026,21.06358951774164,0.1822787140052356,4.5340502878102855,43.75624626175825,0.2174796652954375,5.457713048670535,77.89683996178154,0.2345763018885564,5.919544429212433,145.5864036188677,1.9836238622665403,0.3563784956932068,0.0980825332222349,0.6023906425299177,2.500622034072876,3.9449501037597656,37.31257247924805,0.416454155833363,0.5436946516441362,2.8185577392578125,0.3486074071738659,0.4434687198678246,1.4962976813762154,18.166305160807777
