dataset,seed,draw,same_checkpoint,same_initial_noise,same_rec,same_candidate_bank,only_gate_differs
ETTh,0,100000,True,True,True,True,True
ETTh,0,100001,True,True,True,True,True
ETTh,0,100002,True,True,True,True,True
ETTh,0,100003,True,True,True,True,True
ETTh,0,100004,True,True,True,True,True
ETTh,42,100000,True,True,True,True,True
ETTh,42,100001,True,True,True,True,True
ETTh,42,100002,True,True,True,True,True
ETTh,42,100003,True,True,True,True,True
ETTh,42,100004,True,True,True,True,True
ETTh,123,100000,True,True,True,True,True
ETTh,123,100001,True,True,True,True,True
ETTh,123,100002,True,True,True,True,True
ETTh,123,100003,True,True,True,True,True
ETTh,123,100004,True,True,True,True,True
Energy,0,100000,True,True,True,True,True
Energy,0,100001,True,True,True,True,True
Energy,0,100002,True,True,True,True,True
Energy,0,100003,True,True,True,True,True
Energy,0,100004,True,True,True,True,True
Energy,42,100000,True,True,True,True,True
Energy,42,100001,True,True,True,True,True
Energy,42,100002,True,True,True,True,True
Energy,42,100003,True,True,True,True,True
Energy,42,100004,True,True,True,True,True
Energy,123,100000,True,True,True,True,True
Energy,123,100001,True,True,True,True,True
Energy,123,100002,True,True,True,True,True
Energy,123,100003,True,True,True,True,True
Energy,123,100004,True,True,True,True,True
AirQuality,0,100000,True,True,True,True,True
AirQuality,0,100001,True,True,True,True,True
AirQuality,0,100002,True,True,True,True,True
AirQuality,0,100003,True,True,True,True,True
AirQuality,0,100004,True,True,True,True,True
AirQuality,42,100000,True,True,True,True,True
AirQuality,42,100001,True,True,True,True,True
AirQuality,42,100002,True,True,True,True,True
AirQuality,42,100003,True,True,True,True,True
AirQuality,42,100004,True,True,True,True,True
AirQuality,123,100000,True,True,True,True,True
AirQuality,123,100001,True,True,True,True,True
AirQuality,123,100002,True,True,True,True,True
AirQuality,123,100003,True,True,True,True,True
AirQuality,123,100004,True,True,True,True,True
