dataset,seed,draw,checkpoint_sha256,initial_noise_sha256_by_batch
ETTh,0,100000,8519e8bb75bf090a90ff3058a13dc7d301c647a6f4e7e96d7b8758228dfec7a0,"[""6082729a2f81c85bfc66be01be51d4561ef05d1043c315bbf4397e20e387bdf8"", ""2e852581e87421ad4b5409f61dcd19c186a229737163997840093b3e054544cb"", ""9b5b1d01c00cce11d409aec62769fcc8c2fd7ad6dfe6f83aaa480e098b5e701d"", ""3e121dfde6f16fdf80d540086f2c5b1e7593215a0588222346de1e0b04d9fb76"", ""7b687ffa36d7b3a71bb5f42251a1c4118d1c40c73eace70ee54bdda63dbd9796"", ""43ea5924c0dcaac98e9e9ad6d560d57a18f1946b6b6c1a3bd765e5d087fd8719"", ""4494059eb2cce1b780f63f5df94ae95b78ea578732326665ce90ab75466545dc""]"
ETTh,0,100001,8519e8bb75bf090a90ff3058a13dc7d301c647a6f4e7e96d7b8758228dfec7a0,"[""580b28812185afe6ffb44f62a296e9bc496b9fbe250546ece146a5a32d3c31e1"", ""44566dd6fc7b6856a6ebb9574a2b3f2f9e5e5e477bcecf7f1e21fb3c5c0a83e3"", ""79b72b13931bbd6ed624464b555a42064ef45604545ebd5b15c57b3955e01851"", ""4a6cb61d455df0c5fa594981d7cdbe8ea9c5e7ed22dea206b1e58a07d13e901f"", ""c55f954279ac197208d97704c4413a4d4d08626563267a767806804b700be14e"", ""b5a0dec85983dcbcb8b9bda1a3841ec9c76730c79be29e0cdf7079232a6e192c"", ""508658eab5146e7df7466d9be781225038a5c63f639257001c6cb24194ab007e""]"
ETTh,0,100002,8519e8bb75bf090a90ff3058a13dc7d301c647a6f4e7e96d7b8758228dfec7a0,"[""c0bfc20c3a8f5951f3ec6527badf1fc81689d4d9aa28b1324e7c49dab175fba1"", ""d664dac74e7b375d2a469ff4dde9f70afd0f587a8644ff23d6be96589bbc5dc5"", ""655aa0a3b59ad513c985ea33e3ba22f9fff5a5ca13fbaa8ea96e9bda18ed49c8"", ""f2f1b9e159ef8a7706a8f2a1256033d3eec2dd98131267a9242beb3cc6ef549a"", ""b4904f8637bfbd3145af5a1c337bb4ca18f22d138b610e988e8c5d0ea22242d7"", ""d5931726f6a914dbb6d161bf03f95551a4a7dce1cced2b20503b4fdf1928ab5a"", ""6235ea09396fcc79c74d186d27af63614311c1ed8e9a19fad0d86998cf713af2""]"
ETTh,0,100003,8519e8bb75bf090a90ff3058a13dc7d301c647a6f4e7e96d7b8758228dfec7a0,"[""d53937541e101a74e4102f9dcb7b25795146631d7d8991908f1649ece7ac5f35"", ""aa5c57043e08ffedc917d9d42064e8735bceeee983cc1b4cacbeb12a0a7c4cdb"", ""561b83279d03d69a23578810d75ef452b563e15b247b2c2e8f16cadaefe2edc2"", ""1c2e2e708f96797c162417d015fa6b8a561113fe914c31ae16d052e796eb90d2"", ""4105ee8725e83793cd2d89e9151b4d9588015d8599ebf1d7f36d15f0b2466db9"", ""93a3f7424711715a649c872091f026430d2fd142f155113f543d3c7dc8ab9d94"", ""002daef97964960af550f974b4f1b920273c33da84d0147cfb00f4a7df3b56c3""]"
ETTh,0,100004,8519e8bb75bf090a90ff3058a13dc7d301c647a6f4e7e96d7b8758228dfec7a0,"[""61bc482c32d566dc052545716428edd47336363f2a52a25c31b61f7abbd5afd8"", ""1c6751080bad09f9acbca024df6eb1c7e54b4ded489d1d61b04314cbf287af11"", ""ae5847bdd970e4b2ca755c9598013258382da2584298052c92d62e13b5ae78ee"", ""916fbda82a147491500eb1d70c652f889d9c837adbb168c207d04939b33f2ff0"", ""b696071f0987955def90b836ea36f05ced6787dfd66f82908d042fd2f7c2d597"", ""6031d98fc9eed1d9857de002ee7e404fb8a522191addb482a7f2042702a156b0"", ""dc6b721c29f7aa6ca63b2870b00a6f2e2e5ef0dd3bd4f29fa3d8c75e3ba621c5""]"
ETTh,42,100000,d2fcc4eb44a60314bae7172372df16559f8827eb4c5058af2f8aac43a9963eae,"[""6082729a2f81c85bfc66be01be51d4561ef05d1043c315bbf4397e20e387bdf8"", ""2e852581e87421ad4b5409f61dcd19c186a229737163997840093b3e054544cb"", ""9b5b1d01c00cce11d409aec62769fcc8c2fd7ad6dfe6f83aaa480e098b5e701d"", ""3e121dfde6f16fdf80d540086f2c5b1e7593215a0588222346de1e0b04d9fb76"", ""7b687ffa36d7b3a71bb5f42251a1c4118d1c40c73eace70ee54bdda63dbd9796"", ""43ea5924c0dcaac98e9e9ad6d560d57a18f1946b6b6c1a3bd765e5d087fd8719"", ""4494059eb2cce1b780f63f5df94ae95b78ea578732326665ce90ab75466545dc""]"
ETTh,42,100001,d2fcc4eb44a60314bae7172372df16559f8827eb4c5058af2f8aac43a9963eae,"[""580b28812185afe6ffb44f62a296e9bc496b9fbe250546ece146a5a32d3c31e1"", ""44566dd6fc7b6856a6ebb9574a2b3f2f9e5e5e477bcecf7f1e21fb3c5c0a83e3"", ""79b72b13931bbd6ed624464b555a42064ef45604545ebd5b15c57b3955e01851"", ""4a6cb61d455df0c5fa594981d7cdbe8ea9c5e7ed22dea206b1e58a07d13e901f"", ""c55f954279ac197208d97704c4413a4d4d08626563267a767806804b700be14e"", ""b5a0dec85983dcbcb8b9bda1a3841ec9c76730c79be29e0cdf7079232a6e192c"", ""508658eab5146e7df7466d9be781225038a5c63f639257001c6cb24194ab007e""]"
ETTh,42,100002,d2fcc4eb44a60314bae7172372df16559f8827eb4c5058af2f8aac43a9963eae,"[""c0bfc20c3a8f5951f3ec6527badf1fc81689d4d9aa28b1324e7c49dab175fba1"", ""d664dac74e7b375d2a469ff4dde9f70afd0f587a8644ff23d6be96589bbc5dc5"", ""655aa0a3b59ad513c985ea33e3ba22f9fff5a5ca13fbaa8ea96e9bda18ed49c8"", ""f2f1b9e159ef8a7706a8f2a1256033d3eec2dd98131267a9242beb3cc6ef549a"", ""b4904f8637bfbd3145af5a1c337bb4ca18f22d138b610e988e8c5d0ea22242d7"", ""d5931726f6a914dbb6d161bf03f95551a4a7dce1cced2b20503b4fdf1928ab5a"", ""6235ea09396fcc79c74d186d27af63614311c1ed8e9a19fad0d86998cf713af2""]"
ETTh,42,100003,d2fcc4eb44a60314bae7172372df16559f8827eb4c5058af2f8aac43a9963eae,"[""d53937541e101a74e4102f9dcb7b25795146631d7d8991908f1649ece7ac5f35"", ""aa5c57043e08ffedc917d9d42064e8735bceeee983cc1b4cacbeb12a0a7c4cdb"", ""561b83279d03d69a23578810d75ef452b563e15b247b2c2e8f16cadaefe2edc2"", ""1c2e2e708f96797c162417d015fa6b8a561113fe914c31ae16d052e796eb90d2"", ""4105ee8725e83793cd2d89e9151b4d9588015d8599ebf1d7f36d15f0b2466db9"", ""93a3f7424711715a649c872091f026430d2fd142f155113f543d3c7dc8ab9d94"", ""002daef97964960af550f974b4f1b920273c33da84d0147cfb00f4a7df3b56c3""]"
ETTh,42,100004,d2fcc4eb44a60314bae7172372df16559f8827eb4c5058af2f8aac43a9963eae,"[""61bc482c32d566dc052545716428edd47336363f2a52a25c31b61f7abbd5afd8"", ""1c6751080bad09f9acbca024df6eb1c7e54b4ded489d1d61b04314cbf287af11"", ""ae5847bdd970e4b2ca755c9598013258382da2584298052c92d62e13b5ae78ee"", ""916fbda82a147491500eb1d70c652f889d9c837adbb168c207d04939b33f2ff0"", ""b696071f0987955def90b836ea36f05ced6787dfd66f82908d042fd2f7c2d597"", ""6031d98fc9eed1d9857de002ee7e404fb8a522191addb482a7f2042702a156b0"", ""dc6b721c29f7aa6ca63b2870b00a6f2e2e5ef0dd3bd4f29fa3d8c75e3ba621c5""]"
ETTh,123,100000,7fa6c59ac708b8c091f927299eb1eea6e726fb5f093cb34753b717ec6bb05f71,"[""6082729a2f81c85bfc66be01be51d4561ef05d1043c315bbf4397e20e387bdf8"", ""2e852581e87421ad4b5409f61dcd19c186a229737163997840093b3e054544cb"", ""9b5b1d01c00cce11d409aec62769fcc8c2fd7ad6dfe6f83aaa480e098b5e701d"", ""3e121dfde6f16fdf80d540086f2c5b1e7593215a0588222346de1e0b04d9fb76"", ""7b687ffa36d7b3a71bb5f42251a1c4118d1c40c73eace70ee54bdda63dbd9796"", ""43ea5924c0dcaac98e9e9ad6d560d57a18f1946b6b6c1a3bd765e5d087fd8719"", ""4494059eb2cce1b780f63f5df94ae95b78ea578732326665ce90ab75466545dc""]"
ETTh,123,100001,7fa6c59ac708b8c091f927299eb1eea6e726fb5f093cb34753b717ec6bb05f71,"[""580b28812185afe6ffb44f62a296e9bc496b9fbe250546ece146a5a32d3c31e1"", ""44566dd6fc7b6856a6ebb9574a2b3f2f9e5e5e477bcecf7f1e21fb3c5c0a83e3"", ""79b72b13931bbd6ed624464b555a42064ef45604545ebd5b15c57b3955e01851"", ""4a6cb61d455df0c5fa594981d7cdbe8ea9c5e7ed22dea206b1e58a07d13e901f"", ""c55f954279ac197208d97704c4413a4d4d08626563267a767806804b700be14e"", ""b5a0dec85983dcbcb8b9bda1a3841ec9c76730c79be29e0cdf7079232a6e192c"", ""508658eab5146e7df7466d9be781225038a5c63f639257001c6cb24194ab007e""]"
ETTh,123,100002,7fa6c59ac708b8c091f927299eb1eea6e726fb5f093cb34753b717ec6bb05f71,"[""c0bfc20c3a8f5951f3ec6527badf1fc81689d4d9aa28b1324e7c49dab175fba1"", ""d664dac74e7b375d2a469ff4dde9f70afd0f587a8644ff23d6be96589bbc5dc5"", ""655aa0a3b59ad513c985ea33e3ba22f9fff5a5ca13fbaa8ea96e9bda18ed49c8"", ""f2f1b9e159ef8a7706a8f2a1256033d3eec2dd98131267a9242beb3cc6ef549a"", ""b4904f8637bfbd3145af5a1c337bb4ca18f22d138b610e988e8c5d0ea22242d7"", ""d5931726f6a914dbb6d161bf03f95551a4a7dce1cced2b20503b4fdf1928ab5a"", ""6235ea09396fcc79c74d186d27af63614311c1ed8e9a19fad0d86998cf713af2""]"
ETTh,123,100003,7fa6c59ac708b8c091f927299eb1eea6e726fb5f093cb34753b717ec6bb05f71,"[""d53937541e101a74e4102f9dcb7b25795146631d7d8991908f1649ece7ac5f35"", ""aa5c57043e08ffedc917d9d42064e8735bceeee983cc1b4cacbeb12a0a7c4cdb"", ""561b83279d03d69a23578810d75ef452b563e15b247b2c2e8f16cadaefe2edc2"", ""1c2e2e708f96797c162417d015fa6b8a561113fe914c31ae16d052e796eb90d2"", ""4105ee8725e83793cd2d89e9151b4d9588015d8599ebf1d7f36d15f0b2466db9"", ""93a3f7424711715a649c872091f026430d2fd142f155113f543d3c7dc8ab9d94"", ""002daef97964960af550f974b4f1b920273c33da84d0147cfb00f4a7df3b56c3""]"
