dataset,system,M,ensemble_mean_mae,ensemble_mean_rmse,deterministic_prefix,draw_id_start,draw_id_end
ETTh,TS_REC_ORIGINAL,1,4.7292152158916,6.852519159263187,True,430000,430000
ETTh,TS_REC_ORIGINAL,5,3.928867129795253,5.988611518516633,True,430000,430004
ETTh,TS_REC_ORIGINAL,10,3.853602212203259,5.883987148511534,True,430000,430009
ETTh,TS_REC_ORIGINAL,20,3.902064582206367,5.8993899226128335,True,430000,430019
ETTh,TS_REC_ORIGINAL,50,3.8561815371521515,5.863244644558796,True,430000,430049
ETTh,TS_REC_ORIGINAL,100,3.7978888017390275,5.802272244316785,True,430000,430099
ETTh,PETS_SELECTED_CALIBRATED,1,3.543364582577124,4.783161756218146,True,430000,430000
ETTh,PETS_SELECTED_CALIBRATED,5,3.4963330955392298,4.747508004798854,True,430000,430004
ETTh,PETS_SELECTED_CALIBRATED,10,3.2449172915561215,4.478590071725106,True,430000,430009
ETTh,PETS_SELECTED_CALIBRATED,20,3.1557258105681827,4.344195498364334,True,430000,430019
ETTh,PETS_SELECTED_CALIBRATED,50,3.188735737306632,4.360380307633922,True,430000,430049
ETTh,PETS_SELECTED_CALIBRATED,100,3.187362446508632,4.404296909462022,True,430000,430099
AirQuality,TS_REC_ORIGINAL,1,267.30015563964844,337.650976069473,True,430000,430000
AirQuality,TS_REC_ORIGINAL,5,234.33569011688235,288.4286914696619,True,430000,430004
AirQuality,TS_REC_ORIGINAL,10,180.3595283508301,223.0410520467022,True,430000,430009
AirQuality,TS_REC_ORIGINAL,20,195.13174510002136,234.90085846882153,True,430000,430019
AirQuality,TS_REC_ORIGINAL,50,192.87337539672848,232.98959981718377,True,430000,430049
AirQuality,TS_REC_ORIGINAL,100,197.71208799362182,238.0955432625707,True,430000,430099
AirQuality,PETS_SELECTED_CALIBRATED,1,172.39259432315825,217.02367940424688,True,430000,430000
AirQuality,PETS_SELECTED_CALIBRATED,5,162.08940209865568,206.3556450656529,True,430000,430004
AirQuality,PETS_SELECTED_CALIBRATED,10,159.44993321895598,202.54146429506912,True,430000,430009
AirQuality,PETS_SELECTED_CALIBRATED,20,158.30782930850978,201.80684418800908,True,430000,430019
AirQuality,PETS_SELECTED_CALIBRATED,50,160.94111491680155,202.7421178810754,True,430000,430049
AirQuality,PETS_SELECTED_CALIBRATED,100,161.69043183326724,204.4666443767574,True,430000,430099
