metric,candidate,baseline,observed_delta,relative_delta,bootstrap_mean,bootstrap_se,ci95_low,ci95_high,probability_candidate_lower,improving_model_seed_count,improving_draw_count,evaluator_sensitivity,replicates,replication_unit,nested_resampling
context_fid,PETS_U_BF_EAA_DFULL,PETS_U_BF_EFULL_DFULL,0.0104031350720252,0.0117634793646388,0.0098346360617433,0.0206655939937956,-0.0270990052059734,0.0526234859527353,0.3395,2,2,0.0035950421595937,2000,model_seed,generation draw; evaluator seed where applicable
correlation_score,PETS_U_BF_EAA_DFULL,PETS_U_BF_EFULL_DFULL,-0.0058325430750846,-0.0719170836818559,-0.0058474914301931,0.00385605631675,-0.0133530484139919,0.0016296895146369,0.938,4,4,0.0,2000,model_seed,generation draw; evaluator seed where applicable
discriminative_score,PETS_U_BF_EAA_DFULL,PETS_U_BF_EFULL_DFULL,0.0006829268292682,0.0048627995831539,0.0006433780487804,0.0041024429554077,-0.0067569105691056,0.008740650406504,0.4515,3,3,0.0092410704201629,2000,model_seed,generation draw; evaluator seed where applicable
predictive_score,PETS_U_BF_EAA_DFULL,PETS_U_BF_EFULL_DFULL,0.0011611838509512,0.0100033896225045,0.0011487786882442,0.0009016426999792,-0.0004039228730471,0.0031957301381071,0.088,1,1,0.0032748511100728,2000,model_seed,generation draw; evaluator seed where applicable
context_fid,PETS_U_BF_EFULL_DAA,PETS_U_BF_EFULL_DFULL,-0.0703195132304367,-0.0795146979339035,-0.0706090992141588,0.0066787763085048,-0.0842116475421069,-0.058184249656889,1.0,5,5,0.0105138509371485,2000,model_seed,generation draw; evaluator seed where applicable
correlation_score,PETS_U_BF_EFULL_DAA,PETS_U_BF_EFULL_DFULL,0.0024860364198684,0.0306536080303573,0.0025009229801595,0.001552881872396,-0.000414288111031,0.0056577933579683,0.051,1,2,0.0,2000,model_seed,generation draw; evaluator seed where applicable
discriminative_score,PETS_U_BF_EFULL_DAA,PETS_U_BF_EFULL_DFULL,-0.0008455284552845,-0.0060206090077143,-0.0008652886178861,0.0032622015122028,-0.0071319105691056,0.0054239837398373,0.6,3,3,0.0082756041251816,2000,model_seed,generation draw; evaluator seed where applicable
predictive_score,PETS_U_BF_EFULL_DAA,PETS_U_BF_EFULL_DFULL,0.0001119657532581,0.0009645647873079,0.0001198142609992,0.0010829652294658,-0.001245157672757,0.0028490122806292,0.585,4,4,0.0008628216791844,2000,model_seed,generation draw; evaluator seed where applicable
context_fid,PETS_U_BF_EAA_DAA,PETS_U_BF_EFULL_DFULL,-0.0605300349370235,-0.0684451188985593,-0.0612485594994898,0.0215747492944895,-0.1010296048686466,-0.0180870258396776,0.9985,4,5,0.0127057120733234,2000,model_seed,generation draw; evaluator seed where applicable
correlation_score,PETS_U_BF_EAA_DAA,PETS_U_BF_EFULL_DFULL,-0.0039107447862625,-0.0482207086053863,-0.0039071649627387,0.0042767436527106,-0.0116387733221054,0.0049563091248273,0.8195,4,4,0.0,2000,model_seed,generation draw; evaluator seed where applicable
discriminative_score,PETS_U_BF_EAA_DAA,PETS_U_BF_EFULL_DFULL,-0.0033495934959349,-0.0238508741459456,-0.0033991219512195,0.0050830615773262,-0.0131382113821138,0.0064075203252032,0.735,3,3,0.00861653617283,2000,model_seed,generation draw; evaluator seed where applicable
predictive_score,PETS_U_BF_EAA_DAA,PETS_U_BF_EFULL_DFULL,0.0011725444205118,0.0101012588820147,0.0011831141572309,0.0012224961703189,-0.000936988676341,0.003827685273653,0.17,2,1,0.003123496343957,2000,model_seed,generation draw; evaluator seed where applicable
