system,metric,mean,std,model_seed_count,draw_count
PETS_U_BF_EAA_DAA,context_fid,0.8238286441188934,0.0542762614705756,5,5
PETS_U_BF_EAA_DAA,correlation_score,0.0771901950240135,0.0054212344455363,5,5
PETS_U_BF_EAA_DAA,discriminative_score,0.1370894308943089,0.0152067206888996,5,5
PETS_U_BF_EAA_DAA,predictive_score,0.1172515831024581,0.0032293654464808,5,5
PETS_U_BF_EAA_DFULL,context_fid,0.8947618141279423,0.0526143761041359,5,5
PETS_U_BF_EAA_DFULL,correlation_score,0.0752683967351913,0.0048059056557493,5,5
PETS_U_BF_EAA_DFULL,discriminative_score,0.1411219512195122,0.0168751950804302,5,5
PETS_U_BF_EAA_DFULL,predictive_score,0.1172402225328975,0.0029546093522261,5,5
PETS_U_BF_EFULL_DAA,context_fid,0.8140391658254802,0.0636418576097502,5,5
PETS_U_BF_EFULL_DAA,correlation_score,0.0835869762301445,0.010293524539069,5,5
PETS_U_BF_EFULL_DAA,discriminative_score,0.1395934959349593,0.012692136057895,5,5
PETS_U_BF_EFULL_DAA,predictive_score,0.1161910044352043,0.0037340449564598,5,5
PETS_U_BF_EFULL_DFULL,context_fid,0.8843586790559173,0.0647739582987036,5,5
PETS_U_BF_EFULL_DFULL,correlation_score,0.081100939810276,0.0097183401911464,5,5
PETS_U_BF_EFULL_DFULL,discriminative_score,0.1404390243902439,0.0163126355224238,5,5
PETS_U_BF_EFULL_DFULL,predictive_score,0.1160790386819462,0.0016768844737251,5,5
