Dataset,T,Method,Status,Context-FID ↓,Correlational ↓,Discriminative ↓,Predictive ↓
ETTh,64,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.11714 ± 0.00216
ETTh,64,Diffusion-TS,COMPLETE_15_OF_15,0.30913 ± 0.01795,0.07476 ± 0.00671,0.09737 ± 0.00215,0.11902 ± 0.00036
ETTh,64,PETS-U,COMPLETE_15_OF_15,0.73152 ± 0.15282,0.09465 ± 0.01944,0.13393 ± 0.01748,0.12234 ± 0.00102
ETTh,64,PETS-U-AA,COMPLETE_15_OF_15,0.45531 ± 0.11698,0.08710 ± 0.01466,0.09986 ± 0.03339,0.11990 ± 0.00065
ETTh,128,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.11891 ± 0.01164
ETTh,128,Diffusion-TS,COMPLETE_15_OF_15,0.99746 ± 0.76934,0.09426 ± 0.01370,0.14919 ± 0.04483,0.11785 ± 0.00199
ETTh,128,PETS-U,COMPLETE_15_OF_15,0.92910 ± 0.03825,0.07962 ± 0.00714,0.15436 ± 0.01301,0.11572 ± 0.00064
ETTh,128,PETS-U-AA,COMPLETE_15_OF_15,0.85630 ± 0.01467,0.07727 ± 0.00346,0.14477 ± 0.01089,0.11600 ± 0.00287
ETTh,256,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.11228 ± 0.01448
ETTh,256,Diffusion-TS,COMPLETE_15_OF_15,2.05941 ± 1.06960,0.14831 ± 0.02346,0.20489 ± 0.05145,0.11784 ± 0.00132
ETTh,256,PETS-U,COMPLETE_15_OF_15,1.66261 ± 0.16152,0.11337 ± 0.00565,0.20659 ± 0.00489,0.11570 ± 0.00205
ETTh,256,PETS-U-AA,COMPLETE_15_OF_15,1.60665 ± 0.11933,0.11614 ± 0.01189,0.21591 ± 0.00242,0.11841 ± 0.00580
AirQuality,64,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.01872 ± 0.00004
AirQuality,64,Diffusion-TS,COMPLETE_15_OF_15,0.47722 ± 0.21247,0.13757 ± 0.03177,0.16355 ± 0.05033,0.02164 ± 0.00103
AirQuality,64,PETS-U,COMPLETE_15_OF_15,0.56098 ± 0.20019,0.11134 ± 0.01334,0.18289 ± 0.02832,0.02227 ± 0.00065
AirQuality,64,PETS-U-AA,COMPLETE_15_OF_15,0.41683 ± 0.02686,0.08269 ± 0.00571,0.17382 ± 0.02998,0.02335 ± 0.00088
AirQuality,128,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.01843 ± 0.00042
AirQuality,128,Diffusion-TS,COMPLETE_15_OF_15,0.64015 ± 0.30206,0.13126 ± 0.02457,0.19539 ± 0.07080,0.02083 ± 0.00045
AirQuality,128,PETS-U,COMPLETE_15_OF_15,0.56655 ± 0.10441,0.11037 ± 0.00509,0.19234 ± 0.03006,0.02048 ± 0.00011
AirQuality,128,PETS-U-AA,COMPLETE_15_OF_15,0.43964 ± 0.09054,0.08958 ± 0.00870,0.19446 ± 0.03916,0.02051 ± 0.00011
AirQuality,256,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.01817 ± 0.00061
AirQuality,256,Diffusion-TS,COMPLETE_15_OF_15,1.04694 ± 0.40865,0.13045 ± 0.02877,0.24592 ± 0.11903,0.02022 ± 0.00021
AirQuality,256,PETS-U,COMPLETE_15_OF_15,1.71583 ± 1.26419,0.14237 ± 0.03401,0.27626 ± 0.01466,0.02140 ± 0.00162
AirQuality,256,PETS-U-AA,COMPLETE_15_OF_15,1.66938 ± 1.19431,0.14131 ± 0.03774,0.27340 ± 0.02756,0.02125 ± 0.00152
Energy,64,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.24690 ± 0.00081
Energy,64,Diffusion-TS,COMPLETE_15_OF_15,0.74020 ± 0.09942,1.32090 ± 0.07974,0.35864 ± 0.02128,0.26246 ± 0.00906
Energy,64,PETS-U,COMPLETE_15_OF_15,0.93811 ± 0.02600,1.82150 ± 0.19137,0.29916 ± 0.05165,0.26765 ± 0.01293
Energy,64,PETS-U-AA,COMPLETE_15_OF_15,0.90479 ± 0.02414,1.80803 ± 0.19565,0.32253 ± 0.08889,0.27121 ± 0.02135
Energy,128,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.24537 ± 0.00163
Energy,128,Diffusion-TS,COMPLETE_15_OF_15,0.93869 ± 0.05371,1.33903 ± 0.04631,0.41489 ± 0.02438,0.31206 ± 0.10019
Energy,128,PETS-U,COMPLETE_15_OF_15,1.62936 ± 0.07628,1.49874 ± 0.08624,0.42766 ± 0.04889,0.29797 ± 0.02580
Energy,128,PETS-U-AA,COMPLETE_15_OF_15,1.49423 ± 0.06789,1.44166 ± 0.07294,0.44584 ± 0.02391,0.30784 ± 0.02148
Energy,256,Original Oracle,COMPLETE_3_EVALUATOR_SEEDS,—,—,—,0.24372 ± 0.00057
Energy,256,Diffusion-TS,COMPLETE_15_OF_15,1.56694 ± 0.36113,1.20987 ± 0.06943,0.45089 ± 0.03517,0.38623 ± 0.01828
Energy,256,PETS-U,COMPLETE_15_OF_15,2.07736 ± 0.19788,1.79897 ± 0.03413,0.47753 ± 0.00432,0.36277 ± 0.03817
Energy,256,PETS-U-AA,PARTIAL_13_OF_15,† 1.94939 ± 0.16836,† 1.80103 ± 0.28575,† 0.46579 ± 0.01947,† 0.36886 ± 0.05830
