family,dataset,sequence_length,metric,mean,std,model_seed_count,draws_per_seed
Diffusion-TS,AirQuality,64,context_fid,0.47721756229043244,0.21247106141936317,3,5
Diffusion-TS,AirQuality,64,correlation_score,0.1375730499625206,0.031772043949215414,3,5
Diffusion-TS,AirQuality,64,discriminative_score,0.16355013550135503,0.050328754838317565,3,5
Diffusion-TS,AirQuality,64,predictive_score,0.021643494898132252,0.0010267689693971792,3,5
Diffusion-TS,AirQuality,128,context_fid,0.6401471850082253,0.30206395324076085,3,5
Diffusion-TS,AirQuality,128,correlation_score,0.13125895212093988,0.02456753616829704,3,5
Diffusion-TS,AirQuality,128,discriminative_score,0.1953929539295393,0.07079822745004961,3,5
Diffusion-TS,AirQuality,128,predictive_score,0.020825771715676133,0.0004526349985593864,3,5
Diffusion-TS,AirQuality,256,context_fid,1.0469386286032585,0.4086530723111119,3,5
Diffusion-TS,AirQuality,256,correlation_score,0.13044732958078384,0.0287672938714444,3,5
Diffusion-TS,AirQuality,256,discriminative_score,0.24592140921409214,0.11903061907080337,3,5
Diffusion-TS,AirQuality,256,predictive_score,0.020219707205248797,0.0002051798013362474,3,5
Diffusion-TS,ETTh,64,context_fid,0.3091310925734331,0.017952500401786326,3,5
Diffusion-TS,ETTh,64,correlation_score,0.07476424276828765,0.006711630487703163,3,5
Diffusion-TS,ETTh,64,discriminative_score,0.09737127371273709,0.0021496084604803356,3,5
Diffusion-TS,ETTh,64,predictive_score,0.11902277879747392,0.00035807423733195324,3,5
Diffusion-TS,ETTh,128,context_fid,0.9974616993138011,0.7693365553057113,3,5
Diffusion-TS,ETTh,128,correlation_score,0.09425626496473949,0.013696866825877898,3,5
Diffusion-TS,ETTh,128,discriminative_score,0.14918699186991868,0.04483126169593622,3,5
Diffusion-TS,ETTh,128,predictive_score,0.11785125910633826,0.0019886593961539524,3,5
Diffusion-TS,ETTh,256,context_fid,2.059406957183992,1.0695969106466812,3,5
Diffusion-TS,ETTh,256,correlation_score,0.14831082671880721,0.023458807369636545,3,5
Diffusion-TS,ETTh,256,discriminative_score,0.20489159891598918,0.05144945053445178,3,5
Diffusion-TS,ETTh,256,predictive_score,0.11784262954097358,0.0013183399728898958,3,5
Diffusion-TS,Energy,64,context_fid,0.740195984713278,0.09942351434119696,3,5
Diffusion-TS,Energy,64,correlation_score,1.3209001461664835,0.07973773481960073,3,5
Diffusion-TS,Energy,64,discriminative_score,0.3586449864498645,0.021275404279150176,3,5
Diffusion-TS,Energy,64,predictive_score,0.2624573101555547,0.009056248033252815,3,5
Diffusion-TS,Energy,128,context_fid,0.9386938831765382,0.05370897743346883,3,5
Diffusion-TS,Energy,128,correlation_score,1.3390346209208168,0.0463135303088168,3,5
Diffusion-TS,Energy,128,discriminative_score,0.41489159891598915,0.024376904663075953,3,5
Diffusion-TS,Energy,128,predictive_score,0.31206209120064154,0.10019194001021396,3,5
Diffusion-TS,Energy,256,context_fid,1.566943557885762,0.361132116241476,3,5
Diffusion-TS,Energy,256,correlation_score,1.209870688120524,0.06942806948340716,3,5
Diffusion-TS,Energy,256,discriminative_score,0.4508943089430894,0.03516560915753037,3,5
Diffusion-TS,Energy,256,predictive_score,0.3862255630896672,0.018284862840091835,3,5
PETS-U,AirQuality,64,context_fid,0.5609791223007566,0.2001886508852462,3,5
PETS-U,AirQuality,64,correlation_score,0.11134465833504996,0.013337413638922208,3,5
PETS-U,AirQuality,64,discriminative_score,0.18288617886178862,0.028318369799145714,3,5
PETS-U,AirQuality,64,predictive_score,0.022270195478250803,0.0006485876475138148,3,5
PETS-U,AirQuality,128,context_fid,0.566552808972232,0.1044109427200858,3,5
PETS-U,AirQuality,128,correlation_score,0.110371595621109,0.00509338902137029,3,5
PETS-U,AirQuality,128,discriminative_score,0.1923441734417344,0.030055810264768723,3,5
PETS-U,AirQuality,128,predictive_score,0.020477400848320334,0.00011074936957783213,3,5
PETS-U,AirQuality,256,context_fid,1.7158271844587458,1.2641895882290948,3,5
PETS-U,AirQuality,256,correlation_score,0.14236566772063575,0.034007753935677835,3,5
PETS-U,AirQuality,256,discriminative_score,0.276260162601626,0.014663250192458113,3,5
PETS-U,AirQuality,256,predictive_score,0.02140018763132048,0.0016154263186223174,3,5
PETS-U,ETTh,64,context_fid,0.7315192009040001,0.1528222382557686,3,5
PETS-U,ETTh,64,correlation_score,0.09464850425720216,0.019443254673117437,3,5
PETS-U,ETTh,64,discriminative_score,0.13392953929539295,0.01748252639498993,3,5
PETS-U,ETTh,64,predictive_score,0.12234066413497607,0.0010214974386416342,3,5
PETS-U,ETTh,128,context_fid,0.929095121720349,0.03825263755851489,3,5
PETS-U,ETTh,128,correlation_score,0.07961690028508504,0.007137825724518222,3,5
PETS-U,ETTh,128,discriminative_score,0.15436314363143636,0.013011580673776823,3,5
PETS-U,ETTh,128,predictive_score,0.11572303176986276,0.000644511743226886,3,5
PETS-U,ETTh,256,context_fid,1.6626054908319536,0.161515950061078,3,5
PETS-U,ETTh,256,correlation_score,0.11337329993645351,0.00564875475545385,3,5
PETS-U,ETTh,256,discriminative_score,0.2065853658536585,0.00488769371699049,3,5
PETS-U,ETTh,256,predictive_score,0.11569689252987196,0.0020481148931723136,3,5
PETS-U,Energy,64,context_fid,0.9381066234497769,0.025998881964453956,3,5
PETS-U,Energy,64,correlation_score,1.8214955727259319,0.19137045461396035,3,5
PETS-U,Energy,64,discriminative_score,0.299159891598916,0.05165427709505313,3,5
PETS-U,Energy,64,predictive_score,0.2676461779423536,0.012925567312242507,3,5
PETS-U,Energy,128,context_fid,1.6293563894093346,0.07627753365529695,3,5
PETS-U,Energy,128,correlation_score,1.4987374703089396,0.08624459234235812,3,5
PETS-U,Energy,128,discriminative_score,0.4276558265582655,0.04889016013645934,3,5
PETS-U,Energy,128,predictive_score,0.29796698391114157,0.0258014595835286,3,5
PETS-U,Energy,256,context_fid,2.0773605927893133,0.19787881566640467,3,5
PETS-U,Energy,256,correlation_score,1.7989696979522705,0.03413067504998459,3,5
PETS-U,Energy,256,discriminative_score,0.4775338753387534,0.004317435513198108,3,5
PETS-U,Energy,256,predictive_score,0.3627731603212952,0.03817290973520578,3,5
