evaluation_order,source_window_index
0,5
1,7
2,8
3,12
4,14
5,16
6,17
7,21
8,22
9,23
10,24
11,26
12,27
13,34
14,37
15,38
16,42
17,45
18,50
19,51
20,53
21,55
22,56
23,57
24,60
25,61
26,63
27,69
28,72
29,73
30,75
31,76
32,77
33,82
34,84
35,89
36,90
37,96
38,97
39,100
40,101
41,102
42,103
43,105
44,108
45,110
46,112
47,113
48,114
49,117
50,118
51,120
52,121
53,122
54,124
55,127
56,128
57,129
58,133
59,135
60,136
61,140
62,141
63,142
64,143
65,145
66,147
67,148
68,150
69,151
70,152
71,154
72,155
73,156
74,159
75,162
76,166
77,167
78,168
79,171
80,173
81,175
82,177
83,180
84,183
85,186
86,189
87,192
88,195
89,196
90,201
91,205
92,208
93,209
94,210
95,211
96,213
97,214
98,216
99,220
100,221
101,224
102,228
103,230
104,231
105,232
106,233
107,234
108,235
109,238
110,240
111,241
112,247
113,249
114,250
115,251
116,254
117,260
118,262
119,264
120,271
121,274
122,276
123,277
124,279
125,280
126,285
127,287
128,290
129,295
130,296
131,298
132,300
133,303
134,306
135,310
136,313
137,314
138,316
139,317
140,320
141,322
142,323
143,326
144,327
145,328
146,330
147,332
148,334
149,336
150,337
151,338
152,339
153,343
154,345
155,347
156,350
157,351
158,353
159,355
160,357
161,359
162,360
163,361
164,362
165,366
166,367
167,373
168,375
169,376
170,377
171,378
172,379
173,381
174,382
175,383
176,384
177,390
178,391
179,392
180,395
181,397
182,400
183,402
184,404
185,405
186,407
187,409
188,410
189,412
190,419
191,420
192,421
193,423
194,424
195,425
196,426
197,427
198,428
199,431
200,435
201,436
202,441
203,446
204,449
205,452
206,455
207,457
208,458
209,459
210,460
211,461
212,465
213,468
214,470
215,472
216,473
217,475
218,478
219,479
220,481
221,482
222,483
223,484
224,485
225,486
226,488
227,490
228,494
229,496
230,500
231,501
232,502
233,503
234,504
235,507
236,508
237,510
238,511
239,514
240,515
241,516
242,517
243,523
244,525
245,526
246,530
247,534
248,535
249,541
250,542
251,544
252,548
253,549
254,552
255,553
256,554
257,557
258,559
259,560
260,563
261,565
262,566
263,569
264,571
265,572
266,575
267,576
268,578
269,579
270,581
271,582
272,583
273,584
274,587
275,588
276,590
277,591
278,592
279,593
280,595
281,598
282,601
283,605
284,608
285,609
286,611
287,613
288,614
289,615
290,616
291,617
292,622
293,623
294,624
295,625
296,628
297,630
298,632
299,633
300,637
301,638
302,641
303,642
304,643
305,644
306,649
307,651
308,653
309,655
310,656
311,657
312,658
313,659
314,660
315,661
316,665
317,668
318,669
319,670
320,676
321,679
322,680
323,684
324,686
325,688
326,689
327,696
328,699
329,701
330,702
331,704
332,705
333,710
334,711
335,712
336,714
337,715
338,716
339,719
340,722
341,723
342,725
343,726
344,728
345,730
346,731
347,732
348,733
349,735
350,737
