evaluation_order,source_window_index
0,11
1,13
2,14
3,16
4,21
5,29
6,31
7,32
8,33
9,44
10,45
11,46
12,48
13,56
14,57
15,63
16,73
17,77
18,83
19,84
20,85
21,97
22,104
23,110
24,115
25,122
26,126
27,131
28,137
29,139
30,140
31,141
32,144
33,146
34,148
35,150
36,151
37,159
38,161
39,162
40,163
41,172
42,176
43,179
44,184
45,188
46,192
47,194
48,195
49,197
50,198
51,201
52,203
53,206
54,208
55,210
56,218
57,219
58,223
59,235
60,240
61,242
62,244
63,245
64,248
65,251
66,253
67,255
68,256
69,261
70,264
71,266
72,267
73,271
74,276
75,281
76,283
77,285
78,291
79,292
80,294
81,298
82,304
83,305
84,317
85,320
86,326
87,327
88,329
89,330
90,333
91,339
92,344
93,348
94,350
95,353
96,354
97,355
98,358
99,362
100,373
101,374
102,379
103,380
104,402
105,408
106,417
107,418
108,421
109,424
110,427
111,428
112,432
113,441
114,447
115,450
116,455
117,463
118,466
119,473
120,475
121,478
122,480
123,488
124,492
125,497
126,503
127,509
128,512
129,513
130,516
131,518
132,519
133,523
134,532
135,543
136,548
137,553
138,557
139,569
140,571
141,573
142,580
143,592
144,595
145,597
146,605
147,608
148,615
149,618
150,621
151,622
152,624
153,631
154,637
155,641
156,643
157,650
158,656
159,657
160,659
161,660
162,661
163,662
164,663
165,664
166,669
167,670
168,672
169,676
170,679
171,688
172,693
173,699
174,700
175,702
176,704
177,706
178,708
179,722
180,728
181,733
182,736
183,738
184,739
185,746
186,749
187,752
188,754
189,756
190,760
191,763
192,764
193,765
194,767
195,771
196,780
197,788
198,797
199,799
200,802
201,804
202,808
203,811
204,818
205,825
206,834
207,837
208,838
209,843
210,847
211,849
212,853
213,858
214,863
215,874
216,875
217,877
218,881
219,882
220,887
221,890
222,897
223,898
224,904
225,909
226,912
227,917
228,926
229,929
230,930
231,933
232,935
233,939
234,942
235,946
236,947
237,948
238,950
239,951
240,954
241,957
242,972
243,976
244,978
245,986
246,990
247,999
248,1004
249,1013
250,1018
251,1029
252,1033
253,1039
254,1042
255,1043
256,1048
257,1058
258,1059
259,1063
260,1064
261,1081
262,1082
263,1083
264,1084
265,1087
266,1089
267,1090
268,1101
269,1102
270,1112
271,1113
272,1116
273,1119
274,1128
275,1129
276,1134
277,1136
278,1141
279,1143
280,1150
281,1152
282,1153
283,1163
284,1164
285,1167
286,1168
287,1174
288,1177
289,1179
290,1185
291,1186
292,1188
293,1190
294,1195
295,1199
296,1201
297,1202
298,1203
299,1210
300,1213
301,1214
302,1216
303,1238
304,1244
305,1248
306,1249
307,1253
308,1254
309,1266
310,1270
311,1276
312,1281
313,1284
314,1285
315,1286
316,1299
317,1302
318,1304
319,1305
320,1306
321,1307
322,1310
323,1319
324,1320
325,1325
326,1326
327,1328
328,1343
329,1354
330,1363
331,1367
332,1372
333,1377
334,1381
335,1382
336,1383
337,1384
338,1385
339,1389
340,1390
341,1394
342,1399
343,1402
344,1403
345,1406
346,1409
347,1411
348,1420
349,1423
350,1429
351,1430
352,1438
353,1445
354,1457
355,1458
356,1463
357,1464
358,1467
359,1470
360,1476
361,1487
362,1489
363,1494
364,1495
365,1496
366,1497
367,1506
368,1514
369,1515
370,1517
371,1525
372,1526
373,1531
374,1534
375,1536
376,1539
377,1543
378,1546
379,1550
380,1552
381,1555
382,1558
383,1562
384,1564
385,1567
386,1569
387,1570
388,1572
389,1573
390,1574
391,1575
392,1577
393,1586
394,1594
395,1597
396,1598
397,1599
398,1601
399,1603
400,1607
401,1609
402,1611
403,1612
404,1626
405,1628
406,1629
407,1631
408,1647
409,1662
410,1665
411,1669
412,1676
413,1680
414,1682
415,1686
416,1687
417,1688
418,1693
419,1698
420,1699
421,1704
422,1706
423,1710
424,1711
425,1717
426,1728
427,1729
428,1730
429,1732
430,1733
431,1739
432,1747
433,1750
434,1754
435,1755
436,1756
437,1759
438,1760
439,1762
440,1763
441,1764
442,1766
443,1768
444,1773
445,1774
446,1775
447,1779
448,1780
449,1784
450,1790
451,1793
452,1795
453,1797
454,1798
455,1800
456,1801
457,1802
458,1803
459,1805
460,1808
461,1811
462,1812
463,1820
464,1826
465,1829
466,1830
467,1835
468,1836
469,1843
470,1844
471,1851
472,1854
473,1860
474,1861
475,1862
476,1868
477,1874
478,1877
479,1878
480,1883
481,1888
482,1892
483,1893
484,1895
485,1896
486,1897
487,1908
488,1922
489,1926
490,1928
491,1933
492,1935
493,1941
494,1942
495,1948
496,1952
497,1964
498,1974
499,1976
500,1985
501,1987
502,1991
503,1994
504,1999
505,2005
506,2008
507,2009
508,2010
509,2011
510,2012
511,2013
512,2021
513,2026
514,2027
515,2032
516,2034
517,2037
518,2041
519,2049
520,2057
521,2063
522,2070
523,2072
524,2089
525,2093
526,2098
527,2102
528,2106
529,2112
530,2143
531,2144
532,2148
533,2151
534,2152
535,2153
536,2156
537,2157
538,2163
539,2165
540,2167
541,2171
542,2178
543,2179
544,2191
545,2202
546,2203
547,2209
548,2210
549,2216
550,2218
551,2219
552,2226
553,2227
554,2235
555,2236
556,2237
557,2238
558,2243
559,2246
560,2247
561,2249
562,2251
563,2253
564,2254
565,2256
566,2258
567,2272
568,2279
569,2280
570,2295
571,2298
572,2311
573,2315
574,2323
575,2326
576,2330
577,2336
578,2344
579,2353
580,2354
581,2355
582,2361
583,2363
584,2367
585,2375
586,2379
587,2380
588,2382
589,2387
590,2391
591,2394
592,2398
593,2399
594,2405
595,2411
596,2418
597,2419
598,2422
599,2424
600,2426
601,2433
602,2434
603,2435
604,2437
605,2441
606,2449
607,2452
608,2453
609,2454
610,2455
611,2456
612,2457
613,2459
614,2475
615,2490
616,2491
617,2498
618,2499
619,2504
620,2505
621,2509
622,2518
623,2523
624,2528
625,2530
626,2547
627,2553
628,2556
629,2557
630,2558
631,2561
632,2564
633,2571
634,2576
635,2582
636,2585
637,2587
638,2590
639,2592
640,2594
641,2598
642,2601
643,2607
644,2608
645,2623
646,2624
647,2629
648,2636
649,2645
650,2660
651,2661
652,2667
653,2671
654,2672
655,2674
656,2675
657,2681
658,2683
659,2691
660,2693
661,2694
662,2704
663,2705
664,2707
665,2708
666,2709
667,2713
668,2714
669,2715
670,2717
671,2725
672,2726
673,2731
674,2732
675,2734
676,2738
677,2740
678,2748
679,2750
680,2752
681,2764
682,2765
683,2766
684,2767
685,2771
686,2774
687,2775
688,2781
689,2782
690,2783
691,2785
692,2796
693,2797
694,2799
695,2811
696,2818
697,2826
698,2827
699,2829
700,2833
701,2846
702,2847
703,2848
704,2850
705,2852
706,2858
707,2863
708,2866
709,2868
710,2869
711,2876
712,2880
713,2881
714,2886
715,2891
716,2894
717,2897
718,2904
719,2905
720,2906
721,2911
722,2917
723,2920
724,2921
725,2933
726,2934
727,2935
728,2941
729,2944
730,2945
731,2948
732,2957
733,2959
734,2961
735,2963
736,2968
737,2972
738,2973
739,2974
740,2976
741,2984
742,2988
743,2989
744,2998
745,2999
746,3012
747,3018
748,3019
749,3024
750,3026
751,3029
752,3031
753,3034
754,3046
755,3049
756,3066
757,3072
758,3073
759,3076
760,3078
761,3080
762,3089
763,3093
764,3095
765,3105
766,3106
767,3128
768,3129
769,3132
770,3137
771,3140
772,3142
773,3144
774,3149
775,3151
776,3155
777,3161
778,3167
779,3178
780,3182
781,3191
782,3193
783,3194
784,3201
785,3206
786,3210
787,3214
788,3218
789,3229
790,3235
791,3236
792,3237
793,3240
794,3242
795,3244
796,3257
797,3260
798,3263
799,3264
800,3276
801,3278
802,3281
803,3282
804,3287
805,3293
806,3294
807,3297
808,3300
809,3314
810,3320
811,3321
812,3322
813,3323
814,3324
815,3327
816,3328
817,3334
818,3335
819,3336
820,3341
821,3351
822,3355
823,3358
824,3359
825,3364
826,3366
827,3386
828,3388
829,3389
830,3390
831,3394
832,3396
833,3404
