evaluation_order,source_window_index
0,12
1,14
2,16
3,19
4,24
5,33
6,35
7,36
8,37
9,49
10,52
11,55
12,64
13,65
14,73
15,83
16,89
17,93
18,96
19,97
20,112
21,119
22,127
23,131
24,139
25,143
26,147
27,148
28,157
29,158
30,159
31,160
32,165
33,168
34,171
35,172
36,179
37,181
38,185
39,187
40,194
41,203
42,206
43,209
44,217
45,219
46,222
47,223
48,229
49,230
50,231
51,233
52,236
53,237
54,239
55,246
56,253
57,254
58,270
59,276
60,277
61,279
62,284
63,285
64,288
65,293
66,301
67,303
68,310
69,311
70,323
71,326
72,328
73,331
74,334
75,340
76,344
77,365
78,366
79,368
80,372
81,376
82,377
83,380
84,383
85,384
86,386
87,389
88,396
89,398
90,399
91,401
92,403
93,404
94,406
95,412
96,414
97,425
98,426
99,427
100,431
101,460
102,463
103,467
104,472
105,476
106,479
107,483
108,490
109,491
110,495
111,503
112,508
113,510
114,517
115,523
116,524
117,536
118,539
119,540
120,544
121,560
122,564
123,566
124,571
125,573
126,581
127,582
128,583
129,589
130,591
131,594
132,595
133,600
134,601
135,603
136,616
137,621
138,632
139,637
140,654
141,656
142,658
143,660
144,673
145,676
146,680
147,685
148,686
149,690
150,695
151,706
152,714
153,715
154,719
155,720
156,730
157,738
158,740
159,746
160,749
161,754
162,755
163,757
164,758
165,759
166,767
167,768
168,775
169,776
170,789
171,792
172,795
173,799
174,802
175,811
176,813
177,819
178,820
179,825
180,827
181,832
182,836
183,843
184,846
185,850
186,851
187,857
188,865
189,867
190,871
191,874
192,879
193,880
194,882
195,886
196,905
197,908
198,912
199,914
200,915
201,918
202,923
203,927
204,929
205,932
206,940
207,948
208,952
209,957
210,958
211,959
212,960
213,969
214,971
215,972
216,975
217,991
218,992
219,999
220,1002
221,1003
222,1006
223,1011
224,1013
225,1021
226,1028
227,1038
228,1039
229,1049
230,1052
231,1063
232,1064
233,1069
234,1074
235,1075
236,1076
237,1078
238,1084
239,1087
240,1093
241,1095
242,1098
243,1103
244,1110
245,1117
246,1124
247,1132
248,1141
249,1157
250,1163
251,1167
252,1171
253,1172
254,1183
255,1185
256,1192
257,1193
258,1194
259,1204
260,1205
261,1213
262,1218
263,1220
264,1221
265,1223
266,1224
267,1230
268,1232
269,1239
270,1247
271,1248
272,1250
273,1251
274,1252
275,1257
276,1267
277,1275
278,1278
279,1284
280,1289
281,1290
282,1297
283,1298
284,1300
285,1311
286,1312
287,1316
288,1318
289,1319
290,1325
291,1329
292,1333
293,1334
294,1336
295,1337
296,1341
297,1343
298,1345
299,1346
300,1351
301,1358
302,1361
303,1364
304,1367
305,1382
306,1384
307,1385
308,1386
309,1394
310,1395
311,1396
312,1400
313,1401
314,1408
315,1414
316,1421
317,1438
318,1439
319,1441
320,1443
321,1444
322,1449
323,1461
324,1464
325,1469
326,1472
327,1474
328,1479
329,1485
330,1489
331,1493
332,1497
333,1498
334,1509
335,1511
336,1519
337,1523
338,1527
339,1551
340,1552
341,1553
342,1563
343,1573
344,1574
345,1576
346,1578
347,1582
348,1586
349,1588
350,1589
351,1591
352,1593
353,1599
354,1603
355,1608
356,1613
357,1618
358,1619
359,1624
360,1625
361,1634
362,1635
363,1654
364,1659
365,1667
366,1670
367,1674
368,1683
369,1689
370,1692
371,1694
372,1696
373,1698
374,1702
375,1705
376,1710
377,1713
378,1719
379,1726
380,1730
381,1732
382,1736
383,1741
384,1743
385,1744
386,1746
387,1758
388,1762
389,1764
390,1765
391,1770
392,1773
393,1774
394,1775
395,1777
396,1779
397,1787
398,1794
399,1796
400,1798
401,1800
402,1806
403,1809
404,1815
405,1820
406,1821
407,1822
408,1826
409,1827
410,1829
411,1832
412,1833
413,1834
414,1858
415,1863
416,1870
417,1875
418,1882
419,1901
420,1906
421,1908
422,1909
423,1911
424,1913
425,1921
426,1922
427,1924
428,1927
429,1928
430,1929
431,1932
432,1933
433,1941
434,1953
435,1963
436,1964
437,1968
438,1975
439,1976
440,1977
441,1978
442,1984
443,1997
444,1998
445,2004
446,2006
447,2010
448,2011
449,2012
450,2017
451,2019
452,2022
453,2023
454,2025
455,2026
456,2028
457,2029
458,2030
459,2033
460,2034
461,2036
462,2039
463,2041
464,2042
465,2046
466,2051
467,2055
468,2056
469,2058
470,2060
471,2061
472,2062
473,2064
474,2072
475,2073
476,2084
477,2090
478,2095
479,2096
480,2108
481,2112
482,2119
483,2122
484,2128
485,2131
486,2132
487,2133
488,2134
489,2138
490,2139
491,2143
492,2147
493,2153
494,2155
495,2163
496,2164
497,2174
498,2175
499,2182
500,2189
501,2190
502,2195
503,2204
504,2209
505,2211
506,2217
507,2218
508,2240
509,2244
510,2245
511,2247
512,2249
513,2254
514,2261
515,2268
516,2269
517,2271
518,2274
519,2276
520,2277
521,2278
522,2281
523,2284
524,2286
525,2289
526,2292
527,2294
528,2298
529,2301
530,2310
531,2312
532,2315
533,2319
534,2327
535,2328
536,2335
537,2339
538,2347
539,2349
