family,dataset,sequence_length,model_seed,draw,metric,evaluator_seed,value,lower_is_better,sample_count,real_reference_sha256,generated_sha256,evaluator_source,runtime_seconds,gpu
Diffusion-TS,AirQuality,64,0,100000,correlation_score,-1,0.10242120921611786,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.0506739616394043,2
Diffusion-TS,AirQuality,64,0,100001,correlation_score,-1,0.10247133672237396,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.052948951721191406,2
Diffusion-TS,AirQuality,64,0,100002,correlation_score,-1,0.10592415183782578,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,5a50411dc6ae7d7564f745b9fe970e0b1ba04df1dc6c5481714e6cec7c60dd19,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.05650663375854492,2
Diffusion-TS,AirQuality,64,0,100003,correlation_score,-1,0.09989215433597565,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,236fb2f12cf121577c0366ded552f53226e148bdf67e95b6ecb527979a7b2280,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.06525063514709473,1
Diffusion-TS,AirQuality,64,0,100004,correlation_score,-1,0.09822942316532135,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,04c0fba51040601dee56f06163b42b7a804ba3edbf657e902ce8f5a9b98f31c2,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.054753780364990234,2
Diffusion-TS,AirQuality,64,42,100000,correlation_score,-1,0.15787823498249054,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,05cb6b9fcd46135ab12931d1d1c63b979661024812aa7454e0d06165a45e752a,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.056682586669921875,0
Diffusion-TS,AirQuality,64,42,100001,correlation_score,-1,0.1577364057302475,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,1955f542415426b71a05f1158d2f07525166a1d46982b19beadb9a8113d81356,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.06460237503051758,1
Diffusion-TS,AirQuality,64,42,100002,correlation_score,-1,0.16282790899276733,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,cf4894a5ed6904328aca52044ec037aaa7ec6011c53bf9979036f7bd85d8db13,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.0721132755279541,1
Diffusion-TS,AirQuality,64,42,100003,correlation_score,-1,0.1732083112001419,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,50acd91d9388abbd1e2457f14e7de498ae9ac8e23dcfcbd2fe04d8592d91a3a1,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.06415653228759766,1
Diffusion-TS,AirQuality,64,42,100004,correlation_score,-1,0.16068391501903534,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,136338148d5f6d8b6b5ecc5e2a3324e1ade069ca434817ea155c66d16846154c,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.061824798583984375,1
