family,dataset,sequence_length,model_seed,draw,metric,value
Diffusion-TS,AirQuality,64,0,100000,context_fid,0.23138816680365173
Diffusion-TS,AirQuality,64,0,100000,correlation_score,0.10242120921611786
Diffusion-TS,AirQuality,64,0,100000,discriminative_score,0.10813008130081299
Diffusion-TS,AirQuality,64,0,100000,predictive_score,0.020519100709843013
Diffusion-TS,AirQuality,64,0,100001,context_fid,0.24010950091717928
Diffusion-TS,AirQuality,64,0,100001,correlation_score,0.10247133672237396
Diffusion-TS,AirQuality,64,0,100001,discriminative_score,0.09817073170731705
Diffusion-TS,AirQuality,64,0,100001,predictive_score,0.02048950439633283
Diffusion-TS,AirQuality,64,0,100002,context_fid,0.23698278622121413
Diffusion-TS,AirQuality,64,0,100002,correlation_score,0.10592415183782578
Diffusion-TS,AirQuality,64,0,100002,discriminative_score,0.1065040650406504
Diffusion-TS,AirQuality,64,0,100002,predictive_score,0.020740964609198425
Diffusion-TS,AirQuality,64,0,100003,context_fid,0.22390581040715155
Diffusion-TS,AirQuality,64,0,100003,correlation_score,0.09989215433597565
Diffusion-TS,AirQuality,64,0,100003,discriminative_score,0.10630081300813006
Diffusion-TS,AirQuality,64,0,100003,predictive_score,0.0205568745053597
Diffusion-TS,AirQuality,64,0,100004,context_fid,0.25735736054285435
Diffusion-TS,AirQuality,64,0,100004,correlation_score,0.09822942316532135
Diffusion-TS,AirQuality,64,0,100004,discriminative_score,0.10853658536585364
Diffusion-TS,AirQuality,64,0,100004,predictive_score,0.020392083847430815
Diffusion-TS,AirQuality,64,42,100000,context_fid,0.6244056123752003
Diffusion-TS,AirQuality,64,42,100000,correlation_score,0.15787823498249054
Diffusion-TS,AirQuality,64,42,100000,discriminative_score,0.1904471544715447
Diffusion-TS,AirQuality,64,42,100000,predictive_score,0.02224787478792223
Diffusion-TS,AirQuality,64,42,100001,context_fid,0.6608165570187963
Diffusion-TS,AirQuality,64,42,100001,correlation_score,0.1577364057302475
Diffusion-TS,AirQuality,64,42,100001,discriminative_score,0.1896341463414634
Diffusion-TS,AirQuality,64,42,100001,predictive_score,0.02271444314952949
Diffusion-TS,AirQuality,64,42,100002,context_fid,0.6474754803508843
Diffusion-TS,AirQuality,64,42,100002,correlation_score,0.16282790899276733
Diffusion-TS,AirQuality,64,42,100002,discriminative_score,0.18414634146341466
Diffusion-TS,AirQuality,64,42,100002,predictive_score,0.022529509629218108
Diffusion-TS,AirQuality,64,42,100003,context_fid,0.6395336502557707
Diffusion-TS,AirQuality,64,42,100003,correlation_score,0.1732083112001419
Diffusion-TS,AirQuality,64,42,100003,discriminative_score,0.18678861788617887
