dataset,sequence_length,evaluator_seed,input_dims,batch_size,learning_rate,output_dims,max_train_length,iterations,epochs,fit_data_sha256,sha256,runtime_seconds,gpu
AirQuality,128,123,9,8,0.001,320,3000,600,1,5afe3b08282b3892cd469742e000c4f1d5bc811df0531b8e9f27f911568f0272,f765a29fdb496d0264ff2ef3246f2ac4f46392706dd2e9272ff1499c4bad72b3,9.392748832702637,2
AirQuality,128,42,9,8,0.001,320,3000,600,1,5afe3b08282b3892cd469742e000c4f1d5bc811df0531b8e9f27f911568f0272,6b4fae52847a35e7c14b47f30b872b894f022653239102be5e53c39d5502c1ca,9.198005437850952,1
AirQuality,128,0,9,8,0.001,320,3000,600,1,5afe3b08282b3892cd469742e000c4f1d5bc811df0531b8e9f27f911568f0272,5a23f8c3b18770df47e4c01845c197544467696d4b3cded475548a7a92438342,9.165038347244263,0
AirQuality,64,123,9,8,0.001,320,3000,600,1,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,856e59f207100e88f07fa2f745103df8a9bd47f4808de7aaea63dc404dd0144c,8.60932993888855,2
AirQuality,64,42,9,8,0.001,320,3000,600,1,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,43bb2406bdbb4ae2912378f27beaaabbc261006ed80f085fcf353ac98f34034d,8.48441195487976,1
AirQuality,64,0,9,8,0.001,320,3000,600,1,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,47e7ffd6bb3d2498cafc1bcc6b62d99a00cbebf663e81b604a08bf23a6cbf063,8.382325172424316,0
AirQuality,256,123,9,8,0.001,320,3000,600,1,763f03006b43ade6ea1a2dab673228b628a027e58a379e6eb9a5ef91fedd89f9,7b7c2aa8473be4cb2e930aff12f6d8d233af253a8c0cecc95ee2ca6c9f338b7f,10.180408716201782,2
AirQuality,256,42,9,8,0.001,320,3000,600,1,763f03006b43ade6ea1a2dab673228b628a027e58a379e6eb9a5ef91fedd89f9,0de0fa517e2da71312fc8451b5020968cfd925ed7888beec8bc95a031a8b398e,10.171309232711792,1
AirQuality,256,0,9,8,0.001,320,3000,600,1,763f03006b43ade6ea1a2dab673228b628a027e58a379e6eb9a5ef91fedd89f9,c42a783f58e6a77cacda5cb80f6d6b0541bec86def590bdb1199c198c5877125,10.101233005523682,0
ETTh,128,123,7,8,0.001,320,3000,600,1,7738f737c4dfcedd618d7ad6f490ed21d761bacb5f690c68e54a6607f5d6e950,888aa885e96e874537cded155b359f270e2cd962a30e804711b400197e373ad8,11.4646737575531,1
