dataset,feature_index,feature_name
ETTh,0,HUFL
ETTh,1,HULL
ETTh,2,MUFL
ETTh,3,MULL
ETTh,4,LUFL
ETTh,5,LULL
ETTh,6,OT
AirQuality,0,PT08.S1(CO)
AirQuality,1,C6H6(GT)
AirQuality,2,PT08.S2(NMHC)
AirQuality,3,PT08.S3(NOx)
AirQuality,4,PT08.S4(NO2)
AirQuality,5,PT08.S5(O3)
AirQuality,6,T
AirQuality,7,RH
AirQuality,8,AH
Energy,0,Appliances
Energy,1,lights
Energy,2,T1
Energy,3,RH_1
Energy,4,T2
Energy,5,RH_2
Energy,6,T3
Energy,7,RH_3
Energy,8,T4
Energy,9,RH_4
Energy,10,T5
Energy,11,RH_5
Energy,12,T6
Energy,13,RH_6
Energy,14,T7
Energy,15,RH_7
Energy,16,T8
Energy,17,RH_8
Energy,18,T9
Energy,19,RH_9
Energy,20,T_out
Energy,21,Press_mm_hg
Energy,22,RH_out
Energy,23,Windspeed
Energy,24,Visibility
Energy,25,Tdewpoint
Energy,26,rv1
Energy,27,rv2
