family,dataset,sequence_length,model_seed,status
PETS-U,Energy,64,0,PENDING
PETS-U,Energy,64,42,PENDING
PETS-U,Energy,64,123,PENDING
PETS-U,Energy,128,0,PENDING
PETS-U,Energy,128,42,PENDING
PETS-U,Energy,128,123,PENDING
PETS-U,Energy,256,0,PENDING
PETS-U,Energy,256,42,PENDING
PETS-U,Energy,256,123,PENDING
Diffusion-TS,ETTh,64,0,PENDING
Diffusion-TS,ETTh,64,42,PENDING
Diffusion-TS,ETTh,64,123,PENDING
Diffusion-TS,ETTh,256,0,PENDING
Diffusion-TS,ETTh,256,42,PENDING
Diffusion-TS,ETTh,256,123,PENDING
Diffusion-TS,AirQuality,64,0,PENDING
Diffusion-TS,AirQuality,64,42,PENDING
Diffusion-TS,AirQuality,64,123,PENDING
Diffusion-TS,AirQuality,128,0,PENDING
Diffusion-TS,AirQuality,128,42,PENDING
Diffusion-TS,AirQuality,128,123,PENDING
Diffusion-TS,AirQuality,256,0,PENDING
Diffusion-TS,AirQuality,256,42,PENDING
Diffusion-TS,AirQuality,256,123,PENDING
Diffusion-TS,Energy,64,0,PENDING
Diffusion-TS,Energy,64,42,PENDING
Diffusion-TS,Energy,64,123,PENDING
Diffusion-TS,Energy,128,0,PENDING
Diffusion-TS,Energy,128,42,PENDING
Diffusion-TS,Energy,128,123,PENDING
Diffusion-TS,Energy,256,0,PENDING
Diffusion-TS,Energy,256,42,PENDING
Diffusion-TS,Energy,256,123,PENDING
