comparator,role,level,max_abs_error,expected,pass
floor_repeat,encoder,period_identities,0.0,exact,True
floor_repeat,encoder,period_weights,0.0,exact,True
floor_repeat,encoder,effective_period_weights,0.0,exact,True
floor_repeat,encoder,timesblock_output,0.0,exact,True
floor_repeat,decoder,period_identities,0.0,exact,True
floor_repeat,decoder,period_weights,0.0,exact,True
floor_repeat,decoder,effective_period_weights,0.0,exact,True
floor_repeat,decoder,timesblock_output,0.0,exact,True
floor_repeat,model,fused_denoiser_output,0.0,exact,True
floor_repeat,model,one_reverse_step,0.0,exact,True
ceil_control,encoder,period_identities,1.0,different_on_nondivisor_control,True
ceil_control,encoder,period_weights,4.849376678466797,different_on_nondivisor_control,True
ceil_control,encoder,effective_period_weights,0.08979164413176477,different_on_nondivisor_control,True
ceil_control,encoder,timesblock_output,2.777226209640503,different_on_nondivisor_control,True
ceil_control,decoder,period_identities,1.0,different_on_nondivisor_control,True
ceil_control,decoder,period_weights,3.8606252670288086,different_on_nondivisor_control,True
ceil_control,decoder,effective_period_weights,0.0607313503860496,different_on_nondivisor_control,True
ceil_control,decoder,timesblock_output,1.164548009634018,different_on_nondivisor_control,True
ceil_control,model,fused_denoiser_output,0.4702940583229065,different_on_nondivisor_control,True
ceil_control,model,one_reverse_step,0.004095688462257385,different_on_nondivisor_control,True
