family,dataset,sequence_length,evaluator_seed,value
Diffusion-TS,AirQuality,64,0,0.020300798291935963
Diffusion-TS,AirQuality,64,42,0.02284866158998208
Diffusion-TS,AirQuality,64,123,0.021781024812478716
Diffusion-TS,AirQuality,128,0,0.019620129888736907
Diffusion-TS,AirQuality,128,42,0.02129140420171704
Diffusion-TS,AirQuality,128,123,0.021565781056574453
Diffusion-TS,AirQuality,256,0,0.01918553577103618
Diffusion-TS,AirQuality,256,42,0.02022930622883905
Diffusion-TS,AirQuality,256,123,0.021244279615871164
Diffusion-TS,ETTh,64,0,0.11746175503379466
Diffusion-TS,ETTh,64,42,0.12291289026644941
Diffusion-TS,ETTh,64,123,0.11669369109217768
Diffusion-TS,ETTh,128,0,0.11307688100314409
Diffusion-TS,ETTh,128,42,0.12237103034632733
Diffusion-TS,ETTh,128,123,0.11810586596954332
Diffusion-TS,ETTh,256,0,0.11432008071697056
Diffusion-TS,ETTh,256,42,0.1235463276543669
Diffusion-TS,ETTh,256,123,0.11566148025158327
Diffusion-TS,Energy,64,0,0.25443079993904877
Diffusion-TS,Energy,64,42,0.25924382602364254
Diffusion-TS,Energy,64,123,0.2736973045039728
Diffusion-TS,Energy,128,0,0.31030083733082087
Diffusion-TS,Energy,128,42,0.3125463502680456
Diffusion-TS,Energy,128,123,0.31333908600305826
Diffusion-TS,Energy,256,0,0.3861388780385217
Diffusion-TS,Energy,256,42,0.38269991520695235
Diffusion-TS,Energy,256,123,0.3898378960235277
PETS-U,AirQuality,64,0,0.020421615058343907
PETS-U,AirQuality,64,42,0.023491910269899562
PETS-U,AirQuality,64,123,0.022897061106508923
PETS-U,AirQuality,128,0,0.01976306590013337
PETS-U,AirQuality,128,42,0.020269340825226814
PETS-U,AirQuality,128,123,0.021399795819600817
PETS-U,AirQuality,256,0,0.0201388510107184
PETS-U,AirQuality,256,42,0.021094316628136767
PETS-U,AirQuality,256,123,0.022967395255106264
PETS-U,ETTh,64,0,0.12074486981324904
PETS-U,ETTh,64,42,0.12568811703827124
PETS-U,ETTh,64,123,0.12058900555340794
PETS-U,ETTh,128,0,0.11085182330877312
PETS-U,ETTh,128,42,0.12234131496231081
PETS-U,ETTh,128,123,0.11397595703850433
PETS-U,ETTh,256,0,0.10983170379989436
PETS-U,ETTh,256,42,0.12226984125509262
PETS-U,ETTh,256,123,0.11498913253462888
PETS-U,Energy,64,0,0.2557045383209091
PETS-U,Energy,64,42,0.2715618992651192
PETS-U,Energy,64,123,0.2756720962410327
PETS-U,Energy,128,0,0.2596036616433897
PETS-U,Energy,128,42,0.2605302295014553
PETS-U,Energy,128,123,0.3737670605885796
PETS-U,Energy,256,0,0.3736733593449268
PETS-U,Energy,256,42,0.3410676877463023
PETS-U,Energy,256,123,0.3735784338726565
