family,dataset,sequence_length,model_seed,draw,metric,evaluator_seed,value,lower_is_better,sample_count,real_reference_sha256,generated_sha256,evaluator_source,runtime_seconds,gpu
Diffusion-TS,AirQuality,64,0,100000,predictive_score,0,0.019938334548214698,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/predictive_metric.py,65.81261801719666,2
Diffusion-TS,AirQuality,64,0,100000,predictive_score,42,0.02010570998578487,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/predictive_metric.py,67.06553959846497,0
Diffusion-TS,AirQuality,64,0,100000,predictive_score,123,0.021513257595529467,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.49909138679504,1
Diffusion-TS,AirQuality,64,0,100001,predictive_score,0,0.01986242561031304,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.06300282478333,2
Diffusion-TS,AirQuality,64,0,100001,predictive_score,42,0.020466056465352267,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/Diffusion-TS/Utils/predictive_metric.py,65.76992177963257,1
Diffusion-TS,AirQuality,64,0,100001,predictive_score,123,0.02114003111333318,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/Diffusion-TS/Utils/predictive_metric.py,67.13672256469727,0
Diffusion-TS,AirQuality,64,0,100002,predictive_score,0,0.019929097479462143,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,5a50411dc6ae7d7564f745b9fe970e0b1ba04df1dc6c5481714e6cec7c60dd19,/path/to/Diffusion-TS/Utils/predictive_metric.py,63.562498331069946,1
Diffusion-TS,AirQuality,64,0,100002,predictive_score,42,0.02092968720251065,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,5a50411dc6ae7d7564f745b9fe970e0b1ba04df1dc6c5481714e6cec7c60dd19,/path/to/Diffusion-TS/Utils/predictive_metric.py,67.0580747127533,0
Diffusion-TS,AirQuality,64,0,100002,predictive_score,123,0.02136410914562248,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,5a50411dc6ae7d7564f745b9fe970e0b1ba04df1dc6c5481714e6cec7c60dd19,/path/to/Diffusion-TS/Utils/predictive_metric.py,64.93128824234009,2
Diffusion-TS,AirQuality,64,0,100003,predictive_score,0,0.019840987165935076,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,236fb2f12cf121577c0366ded552f53226e148bdf67e95b6ecb527979a7b2280,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.60931062698364,1
Diffusion-TS,AirQuality,64,0,100003,predictive_score,42,0.020580611347440936,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,236fb2f12cf121577c0366ded552f53226e148bdf67e95b6ecb527979a7b2280,/path/to/Diffusion-TS/Utils/predictive_metric.py,65.22763872146606,2
Diffusion-TS,AirQuality,64,0,100003,predictive_score,123,0.021249025002703092,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,236fb2f12cf121577c0366ded552f53226e148bdf67e95b6ecb527979a7b2280,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.24537944793701,0
Diffusion-TS,AirQuality,64,0,100004,predictive_score,0,0.019906620998312974,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,04c0fba51040601dee56f06163b42b7a804ba3edbf657e902ce8f5a9b98f31c2,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.19111156463623,0
Diffusion-TS,AirQuality,64,0,100004,predictive_score,42,0.02017460069464505,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,04c0fba51040601dee56f06163b42b7a804ba3edbf657e902ce8f5a9b98f31c2,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.50705862045288,1
Diffusion-TS,AirQuality,64,0,100004,predictive_score,123,0.021095029849334423,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,04c0fba51040601dee56f06163b42b7a804ba3edbf657e902ce8f5a9b98f31c2,/path/to/Diffusion-TS/Utils/predictive_metric.py,65.4794430732727,2
