status,family,dataset,sequence_length,model_seed,draw,gpu,sample_count,shape,sample_sha256,checkpoint,checkpoint_sha256,runtime_seconds,peak_memory_mb,batch_size,aggregation
COMPLETE,PETS-U,ETTh,64,0,100000,2,4096,"[4096, 64, 7]",9e3cb06d5dc84fe4facb699a45cd304b7338f26c2e5aed2a1d3e6aff7e7a9ddc,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5,299.73027873039246,182.49658203125,128,FULL
COMPLETE,PETS-U,ETTh,64,0,100001,1,4096,"[4096, 64, 7]",52321555f1e81681fb2280559877adc8ec6a6bf5da86f47dbc93446f7ba3bc78,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5,298.3062553405762,182.52783203125,128,FULL
COMPLETE,PETS-U,ETTh,64,0,100002,0,4096,"[4096, 64, 7]",8f07cc0d916598f648efb0646030e29d5003d9ab54691faa2b4f029d746583b0,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5,297.3311858177185,182.46533203125,128,FULL
COMPLETE,PETS-U,ETTh,64,0,100003,0,4096,"[4096, 64, 7]",8bebd96342406289aed8c53ac40b749be745ba45e92789fd8d836c43cf796d29,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5,296.1657485961914,182.74658203125,128,FULL
COMPLETE,PETS-U,ETTh,64,0,100004,1,4096,"[4096, 64, 7]",2afabab467eea64405988d2bcd2f828cf83ff3672b866fc4ea38b8665c2baa58,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5,296.0718059539795,183.74658203125,128,FULL
COMPLETE,PETS-U,ETTh,64,42,100000,2,4096,"[4096, 64, 7]",250db135e18a42a17009c0e3107173c1dab4ab25611052bd1f27b35dde127bae,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1,295.98066449165344,178.05908203125,128,FULL
COMPLETE,PETS-U,ETTh,64,42,100001,0,4096,"[4096, 64, 7]",33f42df6dbaf5041491fabd7a128fb5236d895e3eae95e37ddec9988f12b6d04,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1,294.21611881256104,178.68408203125,128,FULL
COMPLETE,PETS-U,ETTh,64,42,100002,1,4096,"[4096, 64, 7]",c7c1fbc153296c0e91bd8a32491f9736a7c9ec69870f4d8e78cfedfa674928e4,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1,295.70947670936584,178.49658203125,128,FULL
COMPLETE,PETS-U,ETTh,64,42,100003,2,4096,"[4096, 64, 7]",9e7f9e91dbf798b79aef0e00dc988d8fbf0bcec808c7ec469c6eb42e7706b3ad,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1,296.36382389068604,178.55908203125,128,FULL
COMPLETE,PETS-U,ETTh,64,42,100004,0,4096,"[4096, 64, 7]",7bde06cbd1da758d11003db66f76a46388619803b314ca622f0c4df543ff1c18,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1,295.06748604774475,177.59033203125,128,FULL
