family,dataset,sequence_length,model_seed,metric,value
Diffusion-TS,AirQuality,64,0,context_fid,0.2379487249784102
Diffusion-TS,AirQuality,64,0,correlation_score,0.10178765505552292
Diffusion-TS,AirQuality,64,0,discriminative_score,0.10552845528455283
Diffusion-TS,AirQuality,64,0,predictive_score,0.02053970561363296
Diffusion-TS,AirQuality,64,42,context_fid,0.6438282468600469
Diffusion-TS,AirQuality,64,42,correlation_score,0.16246695518493653
Diffusion-TS,AirQuality,64,42,discriminative_score,0.18971544715447153
Diffusion-TS,AirQuality,64,42,predictive_score,0.022570211402184744
Diffusion-TS,AirQuality,64,123,context_fid,0.5498757150328403
Diffusion-TS,AirQuality,64,123,correlation_score,0.14846453964710235
Diffusion-TS,AirQuality,64,123,discriminative_score,0.19540650406504068
Diffusion-TS,AirQuality,64,123,predictive_score,0.021820567678579057
Diffusion-TS,AirQuality,128,0,context_fid,0.29436328464309935
Diffusion-TS,AirQuality,128,0,correlation_score,0.10327519923448562
Diffusion-TS,AirQuality,128,0,discriminative_score,0.11796747967479675
Diffusion-TS,AirQuality,128,0,predictive_score,0.020479947984904358
Diffusion-TS,AirQuality,128,42,context_fid,0.7734442803022172
Diffusion-TS,AirQuality,128,42,correlation_score,0.14122019410133363
Diffusion-TS,AirQuality,128,42,discriminative_score,0.2113821138211382
Diffusion-TS,AirQuality,128,42,predictive_score,0.020659297514248463
Diffusion-TS,AirQuality,128,123,context_fid,0.8526339900793595
Diffusion-TS,AirQuality,128,123,correlation_score,0.14928146302700043
Diffusion-TS,AirQuality,128,123,discriminative_score,0.2568292682926829
Diffusion-TS,AirQuality,128,123,predictive_score,0.021338069647875574
Diffusion-TS,AirQuality,256,0,context_fid,0.6485898405226797
Diffusion-TS,AirQuality,256,0,correlation_score,0.11991406977176666
Diffusion-TS,AirQuality,256,0,discriminative_score,0.10849593495934962
Diffusion-TS,AirQuality,256,0,predictive_score,0.02043683780416359
Diffusion-TS,AirQuality,256,42,context_fid,1.0270559164238189
Diffusion-TS,AirQuality,256,42,correlation_score,0.10843127220869064
Diffusion-TS,AirQuality,256,42,discriminative_score,0.3126422764227642
Diffusion-TS,AirQuality,256,42,predictive_score,0.02019323623042813
Diffusion-TS,AirQuality,256,123,context_fid,1.4651701288632766
Diffusion-TS,AirQuality,256,123,correlation_score,0.16299664676189424
Diffusion-TS,AirQuality,256,123,discriminative_score,0.3166260162601626
Diffusion-TS,AirQuality,256,123,predictive_score,0.020029047581154678
Diffusion-TS,ETTh,64,0,context_fid,0.30766697083242844
Diffusion-TS,ETTh,64,0,correlation_score,0.08156759291887283
Diffusion-TS,ETTh,64,0,discriminative_score,0.09983739837398373
Diffusion-TS,ETTh,64,0,predictive_score,0.11925157062749651
Diffusion-TS,ETTh,64,42,context_fid,0.32777082027470306
Diffusion-TS,ETTh,64,42,correlation_score,0.07457688003778458
Diffusion-TS,ETTh,64,42,discriminative_score,0.09638211382113818
Diffusion-TS,ETTh,64,42,predictive_score,0.11920664096420903
Diffusion-TS,ETTh,64,123,context_fid,0.2919554866131677
Diffusion-TS,ETTh,64,123,correlation_score,0.06814825534820557
Diffusion-TS,ETTh,64,123,discriminative_score,0.0958943089430894
Diffusion-TS,ETTh,64,123,predictive_score,0.11861012480071623
Diffusion-TS,ETTh,128,0,context_fid,0.530053378574271
Diffusion-TS,ETTh,128,0,correlation_score,0.07931372225284576
Diffusion-TS,ETTh,128,0,discriminative_score,0.11626016260162601
Diffusion-TS,ETTh,128,0,predictive_score,0.11667779030593313
Diffusion-TS,ETTh,128,42,context_fid,0.5769290282476962
Diffusion-TS,ETTh,128,42,correlation_score,0.09723927676677704
Diffusion-TS,ETTh,128,42,discriminative_score,0.13105691056910568
Diffusion-TS,ETTh,128,42,predictive_score,0.11672860928268469
Diffusion-TS,ETTh,128,123,context_fid,1.8854026911194364
Diffusion-TS,ETTh,128,123,correlation_score,0.10621579587459565
Diffusion-TS,ETTh,128,123,discriminative_score,0.20024390243902435
Diffusion-TS,ETTh,128,123,predictive_score,0.12014737773039694
Diffusion-TS,ETTh,256,0,context_fid,2.663140960834578
Diffusion-TS,ETTh,256,0,correlation_score,0.1736036568880081
Diffusion-TS,ETTh,256,0,discriminative_score,0.22479674796747967
Diffusion-TS,ETTh,256,0,predictive_score,0.11928700188079044
Diffusion-TS,ETTh,256,42,context_fid,0.824444841829564
Diffusion-TS,ETTh,256,42,correlation_score,0.1272667810320854
Diffusion-TS,ETTh,256,42,discriminative_score,0.14646341463414636
Diffusion-TS,ETTh,256,42,predictive_score,0.11670407611478975
Diffusion-TS,ETTh,256,123,context_fid,2.6906350688878353
Diffusion-TS,ETTh,256,123,correlation_score,0.14406204223632812
Diffusion-TS,ETTh,256,123,discriminative_score,0.24341463414634146
Diffusion-TS,ETTh,256,123,predictive_score,0.11753681062734056
Diffusion-TS,Energy,64,0,context_fid,0.8040495572661046
Diffusion-TS,Energy,64,0,correlation_score,1.3087024927139281
Diffusion-TS,Energy,64,0,discriminative_score,0.3821951219512195
Diffusion-TS,Energy,64,0,predictive_score,0.25687056557192894
Diffusion-TS,Energy,64,42,context_fid,0.6256430757023754
Diffusion-TS,Energy,64,42,correlation_score,1.24796404838562
Diffusion-TS,Energy,64,42,discriminative_score,0.35292682926829266
Diffusion-TS,Energy,64,42,predictive_score,0.2729061930219662
Diffusion-TS,Energy,64,123,context_fid,0.7908953211713539
Diffusion-TS,Energy,64,123,correlation_score,1.4060338973999023
Diffusion-TS,Energy,64,123,discriminative_score,0.34081300813008125
Diffusion-TS,Energy,64,123,predictive_score,0.2575951718727689
Diffusion-TS,Energy,128,0,context_fid,0.9297995368614421
Diffusion-TS,Energy,128,0,correlation_score,1.3789272546768188
Diffusion-TS,Energy,128,0,discriminative_score,0.3939837398373984
Diffusion-TS,Energy,128,0,predictive_score,0.25304822087394613
Diffusion-TS,Energy,128,42,context_fid,0.8899872962632387
Diffusion-TS,Energy,128,42,correlation_score,1.2882439136505126
Diffusion-TS,Energy,128,42,discriminative_score,0.4416666666666666
Diffusion-TS,Energy,128,42,predictive_score,0.42774586301287243
Diffusion-TS,Energy,128,123,context_fid,0.9962948164049337
Diffusion-TS,Energy,128,123,correlation_score,1.3499326944351195
Diffusion-TS,Energy,128,123,discriminative_score,0.4090243902439024
Diffusion-TS,Energy,128,123,predictive_score,0.2553921897151061
Diffusion-TS,Energy,256,0,context_fid,1.7280724547945059
Diffusion-TS,Energy,256,0,correlation_score,1.289699339866638
Diffusion-TS,Energy,256,0,discriminative_score,0.4825609756097561
Diffusion-TS,Energy,256,0,predictive_score,0.39752316810966776
Diffusion-TS,Energy,256,42,context_fid,1.8194624538315203
