family,dataset,sequence_length,model_seed,status,checkpoint,sha256,step,has_model,has_ema,source_commit
PETS-U,ETTh,64,0,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,ETTh,64,42,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,ETTh,64,123,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_123/checkpoints/checkpoint-10.pt,16f397744eece589862069dcd2e42326eb70081bfa57c2951a8a79e974501d91,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,ETTh,64,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_0/checkpoints_64/checkpoint-10.pt,582622ecd477a468d79daad8499e08ed16dd09cfe77009d90808bb92efcd8a04,18000,True,True,
Diffusion-TS,ETTh,64,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_42/checkpoints_64/checkpoint-10.pt,f4a126f726e649565fe06b2d0c6bdc1ac11c7495d93f997e2d3387559a46f2f8,18000,True,True,
Diffusion-TS,ETTh,64,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_123/checkpoints_64/checkpoint-10.pt,1b87a52b233d13dae13eb3066ce06bfbd2bece341c160f6f9c2f92d14cb52124,18000,True,True,
PETS-U,ETTh,256,0,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_0/checkpoints/checkpoint-10.pt,8c4e950b08ecc40b92307bcfdcb9d0c6bf31fa092e2b7c9a7fb47786723e3e55,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,ETTh,256,42,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_42/checkpoints/checkpoint-10.pt,9903636f73c44ef092fcf21067af6a2b98d20009e08fdc2dff13c561c434139f,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,ETTh,256,123,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_123/checkpoints/checkpoint-10.pt,06f3ed1e358205417591d6d9a796ddb6344c05dd55d557b504ccc0b4c986024d,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,ETTh,256,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_0/checkpoints_256/checkpoint-10.pt,1648c50c75983cd458f47e8d884d875a1de27aa221e6807f40649b87d791fae6,18000,True,True,
Diffusion-TS,ETTh,256,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_42/checkpoints_256/checkpoint-10.pt,8da7e020c540a2194368fcf1e06bd3853bd885667c9667e87d8623d5a14ed3a2,18000,True,True,
Diffusion-TS,ETTh,256,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_123/checkpoints_256/checkpoint-10.pt,e4f5658621b3ca4d4e5b57cd4956cc1f1703877647bccddaf53b4806c784e9b3,18000,True,True,
PETS-U,ETTh,128,0,REUSED,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_0/checkpoints/checkpoint-10.pt,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,ETTh,128,42,REUSED,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_42/checkpoints/checkpoint-10.pt,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,ETTh,128,123,REUSED,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_123/checkpoints/checkpoint-10.pt,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,ETTh,128,0,REUSED,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_0/checkpoints_128/checkpoint-10.pt,0b4c085bedacc01cc685c1be1d5b48f587b65c3de97f11b7d94ff35dc1eb2370,18000,True,True,
Diffusion-TS,ETTh,128,42,REUSED,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_42/checkpoints_128/checkpoint-10.pt,ef7a080800005684dcea0ba2acf3b866a9dbea1c7dfd52578c2697ccc24028a6,18000,True,True,
