family,dataset,sequence_length,model_seed,status,runtime_seconds,peak_memory_mb,measurement_source,checkpoint,checkpoint_sha256
PETS-U,ETTh,64,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,9b32acaca78da714c745a885522599ea5fe44e5ce06d575a60edfbf243396fa5
PETS-U,ETTh,64,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,2d6ef2b45f756493f3b4a3c61a6a32b1394e44986353864b044ea983bf075ca1
PETS-U,ETTh,64,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_123/checkpoints/checkpoint-10.pt,16f397744eece589862069dcd2e42326eb70081bfa57c2951a8a79e974501d91
Diffusion-TS,ETTh,64,0,TRAIN_COMPLETE,1442.9258871078491,1151.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_0/checkpoints_64/checkpoint-10.pt,582622ecd477a468d79daad8499e08ed16dd09cfe77009d90808bb92efcd8a04
Diffusion-TS,ETTh,64,42,TRAIN_COMPLETE,1432.7001020908356,1151.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_42/checkpoints_64/checkpoint-10.pt,f4a126f726e649565fe06b2d0c6bdc1ac11c7495d93f997e2d3387559a46f2f8
Diffusion-TS,ETTh,64,123,TRAIN_COMPLETE,1442.9129679203033,1151.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_123/checkpoints_64/checkpoint-10.pt,1b87a52b233d13dae13eb3066ce06bfbd2bece341c160f6f9c2f92d14cb52124
PETS-U,ETTh,256,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_0/checkpoints/checkpoint-10.pt,8c4e950b08ecc40b92307bcfdcb9d0c6bf31fa092e2b7c9a7fb47786723e3e55
PETS-U,ETTh,256,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_42/checkpoints/checkpoint-10.pt,9903636f73c44ef092fcf21067af6a2b98d20009e08fdc2dff13c561c434139f
PETS-U,ETTh,256,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_123/checkpoints/checkpoint-10.pt,06f3ed1e358205417591d6d9a796ddb6344c05dd55d557b504ccc0b4c986024d
Diffusion-TS,ETTh,256,0,TRAIN_COMPLETE,2663.78692984581,3755.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_0/checkpoints_256/checkpoint-10.pt,1648c50c75983cd458f47e8d884d875a1de27aa221e6807f40649b87d791fae6
Diffusion-TS,ETTh,256,42,TRAIN_COMPLETE,2663.6732234954834,3755.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_42/checkpoints_256/checkpoint-10.pt,8da7e020c540a2194368fcf1e06bd3853bd885667c9667e87d8623d5a14ed3a2
