priority,family,dataset,sequence_length,model_seed,config,checkpoint,training_status,reuse_verdict
0,PETS-U,ETTh,64,0,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_0/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
1,PETS-U,ETTh,64,42,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_42/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
2,PETS-U,ETTh,64,123,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_123/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T64/seed_123/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
3,Diffusion-TS,ETTh,64,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_ETTh_T64_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_0/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
4,Diffusion-TS,ETTh,64,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_ETTh_T64_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_42/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
5,Diffusion-TS,ETTh,64,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_ETTh_T64_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T64/seed_123/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
6,PETS-U,ETTh,256,0,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_0/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_0/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
7,PETS-U,ETTh,256,42,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_42/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_42/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
8,PETS-U,ETTh,256,123,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_123/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_cross_dataset_length/ETTh/T256/seed_123/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
9,Diffusion-TS,ETTh,256,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_ETTh_T256_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_0/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
