representation,representation_key,model_seed,draw,context_fid,correlational_score,discriminative_score,predictive_score,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
Frequency-as-Channel,frequency_as_channel,0,100000,0.6680041723506576,0.12586329877376556,0.16402439024390247,0.11731428670221551,0.0013178722547076895,0.051710442737539455,0.016041227993296065,0.006776159223941265,0.012460949268014922,0.08922620154832772
Frequency-as-Channel,frequency_as_channel,0,100001,0.7438867325936535,0.13616910576820374,0.17723577235772361,0.11719182088700109,0.0013450321454921079,0.044724398381930326,0.01719304790419909,0.006964601931148125,0.012662092033189007,0.0885840175914116
Frequency-as-Channel,frequency_as_channel,0,100002,0.6907977355107553,0.13537068665027618,0.17276422764227647,0.11706545246791696,0.001322865786830949,0.04377525239396372,0.015941657374798933,0.006871347456643827,0.012578859822271096,0.08882372936153632
Frequency-as-Channel,frequency_as_channel,0,100003,0.7279763927196113,0.13609804213047028,0.18760162601626018,0.11697291877923514,0.001341538470996577,0.04183968795647706,0.016879049446826794,0.0069563946601422545,0.01255982950735076,0.08748787600977898
Frequency-as-Channel,frequency_as_channel,0,100004,0.6789580658149186,0.12245877087116241,0.18536585365853656,0.1167088146568555,0.0013326584740361207,0.045622944336226365,0.016331248752559962,0.006889647598256141,0.012664332422959293,0.08957884911777214
Frequency-as-Channel,frequency_as_channel,42,100000,0.9023681610123028,0.1238950714468956,0.15162601626016262,0.11709470981880561,0.0014413460430756093,0.040148981710266256,0.01777683698374067,0.007021953023911353,0.012709606653626027,0.08807719051162138
Frequency-as-Channel,frequency_as_channel,42,100001,0.8986084415039537,0.13077203929424286,0.13841463414634148,0.11750870302572973,0.0014249919898639226,0.04260078415837422,0.01795387237721713,0.006983994533914045,0.012652827122878435,0.08867674674036286
Frequency-as-Channel,frequency_as_channel,42,100002,0.8668900208444557,0.12835350632667542,0.15000000000000002,0.11729194166870609,0.0014144657398867647,0.03517065810136272,0.017362309626949252,0.006985595037801377,0.012665903072735046,0.0885178615717121
Frequency-as-Channel,frequency_as_channel,42,100003,0.8770048606492519,0.1314733922481537,0.15508130081300817,0.11672122877689617,0.0014204235865619473,0.03617126396595563,0.017932822464222866,0.006970446478768318,0.012563044053134395,0.0880686096053005
Frequency-as-Channel,frequency_as_channel,42,100004,0.8831530084560866,0.11418385803699493,0.13678861788617888,0.11620762985300341,0.0014294805605702822,0.03661165524287189,0.017169163850653275,0.006983553535078443,0.012727532711902106,0.08931118020124723
Frequency-as-Channel,frequency_as_channel,123,100000,0.9362646855198501,0.1188138872385025,0.15670731707317076,0.11960488045284971,0.0014775353571617835,0.045044538777177415,0.019061778862004962,0.007825849175069982,0.013640287688613036,0.08516854007227898
Frequency-as-Channel,frequency_as_channel,123,100001,0.9780837572855243,0.1264013648033142,0.17418699186991873,0.12022198500850816,0.001463270180972627,0.04864263941529149,0.019866569174659992,0.007803299948075458,0.013565856947221865,0.08490834484835608
Frequency-as-Channel,frequency_as_channel,123,100002,0.9270200342812654,0.12290197610855103,0.17540650406504069,0.11951937616080006,0.0014481658907760837,0.0421048232620143,0.018808269689155138,0.007759808212705516,0.013539513601455971,0.0845377050559808
Frequency-as-Channel,frequency_as_channel,123,100003,0.9863366864565206,0.129184290766716,0.19369918699186986,0.11834959249245003,0.0014640096271160289,0.03769025801243343,0.01969438699987697,0.007848249125129741,0.013585931827481891,0.08429245721726197
Frequency-as-Channel,frequency_as_channel,123,100004,0.9530151524801739,0.11197469383478165,0.1703252032520325,0.11842175536670159,0.0014786864771319133,0.04745035515465512,0.01928059599826786,0.007847630490295607,0.013721636302436835,0.08596518034297057
