representation,representation_key,model_seed,draw,generated_samples,generated_batch_size,generated_batch_count,sampling_runtime_seconds,mean_sampling_seconds_per_generated_batch,peak_gpu_memory_mb,reused
Period-Aligned 2D,period_aligned_2d,0,100000,4096,512,8,1189.5882730484009,148.6985341310501,579.93115234375,True
Period-Aligned 2D,period_aligned_2d,0,100001,4096,512,8,1218.2040400505066,152.27550500631332,581.43115234375,True
Period-Aligned 2D,period_aligned_2d,0,100002,4096,512,8,1174.735051393509,146.8418814241886,580.93115234375,True
Period-Aligned 2D,period_aligned_2d,0,100003,4096,512,8,1168.997082710266,146.12463533878326,580.43115234375,True
Period-Aligned 2D,period_aligned_2d,0,100004,4096,512,8,1177.3429381847382,147.16786727309227,579.68115234375,True
Period-Aligned 2D,period_aligned_2d,42,100000,4096,512,8,1166.7002403736115,145.83753004670143,580.18115234375,True
Period-Aligned 2D,period_aligned_2d,42,100001,4096,512,8,1176.9493868350983,147.11867335438728,580.43115234375,True
Period-Aligned 2D,period_aligned_2d,42,100002,4096,512,8,1174.811818599701,146.85147732496262,580.18115234375,True
Period-Aligned 2D,period_aligned_2d,42,100003,4096,512,8,1187.6778428554535,148.4597303569317,581.43115234375,True
Period-Aligned 2D,period_aligned_2d,42,100004,4096,512,8,1178.4331548213959,147.30414435267448,579.68115234375,True
Period-Aligned 2D,period_aligned_2d,123,100000,4096,512,8,1177.518673658371,147.18983420729637,579.68115234375,True
Period-Aligned 2D,period_aligned_2d,123,100001,4096,512,8,1189.7148888111115,148.71436110138893,579.43115234375,True
Period-Aligned 2D,period_aligned_2d,123,100002,4096,512,8,1173.3523058891296,146.6690382361412,579.43115234375,True
Period-Aligned 2D,period_aligned_2d,123,100003,4096,512,8,1177.5145869255066,147.18932336568832,579.43115234375,True
Period-Aligned 2D,period_aligned_2d,123,100004,4096,512,8,1189.3964564800262,148.67455706000328,579.18115234375,True
STFT / Spectrogram,stft_spectrogram,0,100000,4096,512,8,1012.3629930019379,126.54537412524223,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,0,100001,4096,512,8,1013.0874025821686,126.63592532277107,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,0,100002,4096,512,8,1013.1957697868347,126.64947122335434,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,0,100003,4096,512,8,1011.4885668754578,126.43607085943222,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,0,100004,4096,512,8,1011.7244820594788,126.46556025743484,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,42,100000,4096,512,8,1012.5012001991272,126.5626500248909,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,42,100001,4096,512,8,1011.4599850177765,126.43249812722206,555.70361328125,False
STFT / Spectrogram,stft_spectrogram,42,100002,4096,512,8,1011.6657283306122,126.45821604132652,555.70361328125,False
STFT / Spectrogram,stft_spectrogram,42,100003,4096,512,8,1012.3982791900635,126.54978489875793,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,42,100004,4096,512,8,1011.3843212127686,126.42304015159607,555.70361328125,False
STFT / Spectrogram,stft_spectrogram,123,100000,4096,512,8,1011.5980923175812,126.44976153969765,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,123,100001,4096,512,8,1012.1840279102325,126.52300348877907,555.70361328125,False
STFT / Spectrogram,stft_spectrogram,123,100002,4096,512,8,1011.4625544548035,126.43281930685043,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,123,100003,4096,512,8,1011.6393780708313,126.45492225885391,555.53955078125,False
STFT / Spectrogram,stft_spectrogram,123,100004,4096,512,8,1012.5677897930145,126.57097372412682,555.70361328125,False
Frequency-as-Channel,frequency_as_channel,0,100000,4096,512,8,311.37301659584045,38.92162707448006,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,0,100001,4096,512,8,311.58408284187317,38.948010355234146,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,0,100002,4096,512,8,311.03648567199707,38.879560708999634,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,0,100003,4096,512,8,311.5747158527374,38.94683948159218,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,0,100004,4096,512,8,311.9304795265198,38.99130994081497,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,42,100000,4096,512,8,310.8832895755768,38.8604111969471,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,42,100001,4096,512,8,310.93842363357544,38.86730295419693,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,42,100002,4096,512,8,311.48512148857117,38.935640186071396,3696.16064453125,False
Frequency-as-Channel,frequency_as_channel,42,100003,4096,512,8,310.8055386543274,38.850692331790924,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,42,100004,4096,512,8,310.9217519760132,38.86521899700165,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,123,100000,4096,512,8,312.247385263443,39.030923157930374,3696.85302734375,False
Frequency-as-Channel,frequency_as_channel,123,100001,4096,512,8,311.2279872894287,38.90349841117859,3696.16064453125,False
Frequency-as-Channel,frequency_as_channel,123,100002,4096,512,8,311.77060770988464,38.97132596373558,3696.1318359375,False
Frequency-as-Channel,frequency_as_channel,123,100003,4096,512,8,311.2337534427643,38.904219180345535,3696.16064453125,False
Frequency-as-Channel,frequency_as_channel,123,100004,4096,512,8,312.2262966632843,39.02828708291054,3695.60302734375,False
