representation,representation_key,model_seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
Period-Aligned 2D,period_aligned_2d,0,100000,0.0014208838980121292,0.01620524765282672,0.017385670103348013,0.007629361339281042,0.012522639934862176,0.06640016032454654
Period-Aligned 2D,period_aligned_2d,0,100001,0.0014093054869030411,0.016984777482521585,0.01745155175849838,0.007639032242739024,0.012528388552137101,0.0668596540178572
Period-Aligned 2D,period_aligned_2d,0,100002,0.0014179364994598305,0.017163551397371152,0.017285333339916643,0.007722498094119207,0.012737425024564764,0.06797240380527214
Period-Aligned 2D,period_aligned_2d,0,100003,0.0014351097933097438,0.017064257643442514,0.016599738594337603,0.007749207550168995,0.012715684233567198,0.06797600224985834
Period-Aligned 2D,period_aligned_2d,0,100004,0.0014374167954885264,0.018112852337185143,0.017402283870096447,0.007767878331231052,0.012783082484885168,0.06845625620039686
Period-Aligned 2D,period_aligned_2d,42,100000,0.0014981640509628767,0.01225529845798457,0.017755227716179225,0.007858228443728753,0.013367707594518774,0.07678361057964855
Period-Aligned 2D,period_aligned_2d,42,100001,0.0015005910895148887,0.011958191358880441,0.018372451160444576,0.007930464092035398,0.013469951925439115,0.07731147472009642
Period-Aligned 2D,period_aligned_2d,42,100002,0.0014852780624899258,0.011240304780295323,0.017716767507840625,0.007926941728906841,0.013562674730258538,0.07810451654620187
Period-Aligned 2D,period_aligned_2d,42,100003,0.0015009102773923596,0.014504501398830994,0.01719084724515768,0.007967712233302702,0.013570697220493491,0.07815877001842408
Period-Aligned 2D,period_aligned_2d,42,100004,0.0015149971113511541,0.012045587825351738,0.017840359931293476,0.007989682133476266,0.013638798196213157,0.07856151900864516
Period-Aligned 2D,period_aligned_2d,123,100000,0.0014586736168538113,0.01461650845789413,0.01622757207826193,0.007764356670121913,0.012924441556390553,0.06567687296272678
Period-Aligned 2D,period_aligned_2d,123,100001,0.0014496426699284529,0.013788081511748033,0.016725672610196335,0.0077637578049158,0.012867003360720095,0.06568988272392295
Period-Aligned 2D,period_aligned_2d,123,100002,0.0014576748276040176,0.0128646656667406,0.016274653232597743,0.007842710192380843,0.013034672919544063,0.0662717235331633
Period-Aligned 2D,period_aligned_2d,123,100003,0.00147301487230947,0.013015773649853965,0.01593866554201482,0.007863533035463048,0.012975998890445234,0.06568877551020413
Period-Aligned 2D,period_aligned_2d,123,100004,0.0014805996446267575,0.019070367790809513,0.016633301548877176,0.007906388560763644,0.01309473574339802,0.06681924071712025
STFT / Spectrogram,stft_spectrogram,0,100000,0.0013867595112303265,0.023691874548826115,0.018880828679082244,0.0073148066875476855,0.011666057798360295,0.06472937482284585
STFT / Spectrogram,stft_spectrogram,0,100001,0.0013822955857484508,0.024705063578622583,0.019008612681868684,0.007402954160707728,0.011792186226962528,0.06520658393565765
