placement,placement_key,model_seed,draw,context_fid,correlational_score,discriminative_score,predictive_score
E + LastBeforeD,e_last_before_d,0,100000,0.8497552256083726,0.07344970107078552,0.13902439024390245,0.11624771601964312
E + LastBeforeD,e_last_before_d,0,100001,0.8387407297792956,0.07307009398937225,0.14146341463414636,0.11416940738430033
E + LastBeforeD,e_last_before_d,0,100002,0.834452049830999,0.06427936255931854,0.141869918699187,0.11566241571563296
E + LastBeforeD,e_last_before_d,0,100003,0.8647083605339309,0.0705629363656044,0.15589430894308945,0.11370187793121052
E + LastBeforeD,e_last_before_d,0,100004,0.8512961034653753,0.06500544399023056,0.12865853658536586,0.11448535455398694
E + LastBeforeD,e_last_before_d,42,100000,0.9243038090449253,0.08497141301631927,0.13191056910569107,0.11712488097267244
E + LastBeforeD,e_last_before_d,42,100001,0.933361033042636,0.08915133029222488,0.13719512195121952,0.1151976453561474
E + LastBeforeD,e_last_before_d,42,100002,0.8979366129869936,0.0772329568862915,0.14756097560975612,0.11754303476633747
E + LastBeforeD,e_last_before_d,42,100003,0.918674654971201,0.08274417370557785,0.1530487804878049,0.11414587049572826
E + LastBeforeD,e_last_before_d,42,100004,0.9178904552332497,0.08232295513153076,0.1313008130081301,0.1135881644775812
E + LastBeforeD,e_last_before_d,123,100000,0.9434507224725145,0.08096780627965927,0.1650406504065041,0.1165822446932907
E + LastBeforeD,e_last_before_d,123,100001,0.921418870779434,0.08538179099559784,0.16239837398373988,0.11388768588479554
E + LastBeforeD,e_last_before_d,123,100002,0.9138020504854186,0.0739242434501648,0.16524390243902443,0.11753356207251879
E + LastBeforeD,e_last_before_d,123,100003,0.9602910958147061,0.07988603413105011,0.17682926829268297,0.1154424575053478
E + LastBeforeD,e_last_before_d,123,100004,0.9369274758250473,0.08023259788751602,0.1554878048780488,0.11359928082750533
E + MidD,e_mid_d,0,100000,0.6818506286828067,0.07743536680936813,0.125,0.1150649862949346
E + MidD,e_mid_d,0,100001,0.7352437647266865,0.08332657068967819,0.12398373983739837,0.11541246655830643
E + MidD,e_mid_d,0,100002,0.6948095125547272,0.084272101521492,0.12784552845528455,0.11727746621818369
E + MidD,e_mid_d,0,100003,0.6975134338997068,0.08209769427776337,0.1386178861788618,0.11376509879846708
E + MidD,e_mid_d,0,100004,0.7235699227091134,0.06951238214969635,0.12804878048780488,0.11539414101283303
E + MidD,e_mid_d,42,100000,0.7211310590924557,0.09050637483596802,0.11341463414634145,0.11546935885022928
E + MidD,e_mid_d,42,100001,0.7744747297760202,0.09239854663610458,0.13516260162601626,0.11450165447937859
E + MidD,e_mid_d,42,100002,0.7281728553627514,0.09588087350130081,0.14552845528455285,0.11663477847681254
E + MidD,e_mid_d,42,100003,0.709559971863302,0.09594379365444183,0.13475609756097562,0.12439682596429218
E + MidD,e_mid_d,42,100004,0.7635760548551499,0.08348771929740906,0.12398373983739837,0.11502081410390019
E + MidD,e_mid_d,123,100000,0.8361002256200799,0.09607098996639252,0.12032520325203251,0.11653841421139077
E + MidD,e_mid_d,123,100001,0.8699461664703714,0.10145249217748642,0.11443089430894308,0.11775178938038759
E + MidD,e_mid_d,123,100002,0.8331749216301375,0.1007813811302185,0.13760162601626016,0.1161430444405293
E + MidD,e_mid_d,123,100003,0.8283139069696209,0.09941891580820084,0.13800813008130083,0.11420316132171138
E + MidD,e_mid_d,123,100004,0.8839839413091101,0.09028129279613495,0.11788617886178861,0.11500339938038451
E-only,e_only,0,100000,0.7427780780416122,0.08415244519710541,0.14349593495934962,0.1162480154741085
E-only,e_only,0,100001,0.8226716807011677,0.09590612351894379,0.1451219512195122,0.11432661951706298
E-only,e_only,0,100002,0.7656309107399499,0.0939328745007515,0.1497967479674797,0.11452079220998712
E-only,e_only,0,100003,0.752243671857658,0.09256365150213242,0.15040650406504066,0.11707661667378488
E-only,e_only,0,100004,0.779246281244729,0.08040119707584381,0.14756097560975612,0.11411649012158402
E-only,e_only,42,100000,0.7688954932917048,0.10468310117721558,0.14349593495934962,0.11497125051285668
E-only,e_only,42,100001,0.7937042552703865,0.10923417657613754,0.14817073170731707,0.11388625623627983
E-only,e_only,42,100002,0.7473313090143011,0.11072375625371933,0.1443089430894309,0.11402034484232597
E-only,e_only,42,100003,0.7472229592572713,0.11320401728153229,0.1642276422764228,0.11446769349155754
E-only,e_only,42,100004,0.7749596177576356,0.09712407737970352,0.13109756097560976,0.11397276409100716
E-only,e_only,123,100000,0.7114716768818031,0.08742646872997284,0.15630081300813012,0.11518751531472542
E-only,e_only,123,100001,0.767392719766313,0.09675227850675583,0.16463414634146345,0.11610188958047729
E-only,e_only,123,100002,0.7147951069506284,0.0965825766324997,0.1682926829268293,0.12187407211771036
E-only,e_only,123,100003,0.7245248326694226,0.0992666482925415,0.159349593495935,0.11622974277042886
E-only,e_only,123,100004,0.7149130414225002,0.08119785040616989,0.1672764227642277,0.1156697327570934
