placement,placement_key,model_seed,draw,metric,evaluator_seed,value,source,reused
E + LastBeforeD,e_last_before_d,0,100000,context_fid,0.0,0.7981567784642593,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_context_fid_0.json,True
E + LastBeforeD,e_last_before_d,0,100000,context_fid,42.0,0.9509754821255882,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_context_fid_42.json,True
E + LastBeforeD,e_last_before_d,0,100000,context_fid,123.0,0.8001334162352705,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_context_fid_123.json,True
E + LastBeforeD,e_last_before_d,0,100000,correlational_score,,0.07344970107078552,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_correlation_score_det.json,True
E + LastBeforeD,e_last_before_d,0,100000,discriminative_score,0.0,0.14329268292682928,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_discriminative_score_0.json,True
E + LastBeforeD,e_last_before_d,0,100000,discriminative_score,42.0,0.1530487804878049,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_discriminative_score_42.json,True
E + LastBeforeD,e_last_before_d,0,100000,discriminative_score,123.0,0.12073170731707317,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_discriminative_score_123.json,True
E + LastBeforeD,e_last_before_d,0,100000,predictive_score,0.0,0.11311502916851168,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_predictive_score_0.json,True
E + LastBeforeD,e_last_before_d,0,100000,predictive_score,42.0,0.12094011942599536,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_predictive_score_42.json,True
E + LastBeforeD,e_last_before_d,0,100000,predictive_score,123.0,0.11468799946442232,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100000/metric_predictive_score_123.json,True
E + LastBeforeD,e_last_before_d,0,100001,context_fid,0.0,0.7907796175903437,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_context_fid_0.json,True
E + LastBeforeD,e_last_before_d,0,100001,context_fid,42.0,0.9384432728087475,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_context_fid_42.json,True
E + LastBeforeD,e_last_before_d,0,100001,context_fid,123.0,0.7869992989387954,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_context_fid_123.json,True
E + LastBeforeD,e_last_before_d,0,100001,correlational_score,,0.07307009398937225,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_correlation_score_det.json,True
E + LastBeforeD,e_last_before_d,0,100001,discriminative_score,0.0,0.14695121951219514,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_discriminative_score_0.json,True
E + LastBeforeD,e_last_before_d,0,100001,discriminative_score,42.0,0.14878048780487807,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_discriminative_score_42.json,True
E + LastBeforeD,e_last_before_d,0,100001,discriminative_score,123.0,0.12865853658536586,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_discriminative_score_123.json,True
E + LastBeforeD,e_last_before_d,0,100001,predictive_score,0.0,0.11049496885198096,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_predictive_score_0.json,True
E + LastBeforeD,e_last_before_d,0,100001,predictive_score,42.0,0.1214351839430492,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/confirm/PETS_U/PETS_U_FULL/seed_0/draw_100001/metric_predictive_score_42.json,True
